competition_id,n_players_with_match
LUX1,732
LUXP,627
LUX2,327
ECLQ,263
POLU,209
FS,208
FRC,129
CLQ,124
U17Q,107
ELQ,106
LUCL,105
U19Q,100
U21Q,75
FR4B,67
LUCP,65
CCB,62
FRYC,57
FR4C,56
19YL,55
POPO,50
FR3,47
FR2,44
LURE,43
FR4A,41
BE2,41
FR4D,40
FR5I,39
BEL3,36
FRL,35
FR5J,30
F19B,29
PT3A,29
EL,28
FR1,28
PO2,28
DFB,27
DFBJ,27
BE3A,26
PT23,25
FR5F,25
FR5C,24
FR5D,22
FR5E,21
OLRP,21
FR5H,20
P3As,20
ACFF,20
RLSW,19
AJ3,19
RLW3,18
UNLC,18
WMQ6,18
FR5B,18
B3AB,18
POCP,18
BE1,17
EMQ,17
FR5G,17
CPSC,17
F19A,17
PTPR,16
FR5A,16
AJ2,15
17EU,15
BJ3,15
BJ2,14
L3,14
FR5K,14
AFCQ,13
POBE,13
F17M,13
F19F,12
RLN4,12
WMQ2,12
CPSD,12
CPSB,12
PO1,12
ALG1,11
RLB3,11
SRPO,11
NLP,11
NL2,11
19S2,11
19S1,11
UNLD,11
CPSP,11
RLP,11
LLSA,10
RLN3,10
P3Au,10
BU1,9
P23Q,9
CPSA,9
2NPP,9
L2,8
P23C,8
FR5L,8
NRPO,8
MRPO,8
BE2A,8
CL,8
CHAN,7
OLMR,7
PLIC,7
AJ1,7
SCC,7
CITP,7
P232,7
POEM,7
FRR1,6
NP34,6
ITC4,6
BRC,6
BRA4,6
NLJB,6
AJ,6
P2RL,6
MALC,6
B3AU,6
AJR2,6
UKR1,6
UKRP,6
BULP,6
BU2,6
BE3B,6
UCOL,5
ALPW,5
ALGP,5
POPU,5
BRPR,5
WFPO,5
AND1,5
BJ1,5
BE2E,5
BVFP,5
ORPE,5
TDV,5
SWP,5
IJ1,5
DK2R,5
BVP,5
OBLG,5
RO1,5
AA17,5
A1,4
F19D,4
EST1,4
GRP,4
RL2,4
OBLB,4
ofb,4
BRSC,4
UAEP,4
TRP,4
WFVP,4
OLW3,4
GRS2,4
BJ,4
P23F,4
NLBB,4
CNLB,4
KRC,4
SEC,4
ROMP,4
C2,4
BRNE,4
BRDF,4
BJ3R,4
OBLN,4
OBLD,4
UNGP,4
UNG1,4
DK2,4
SAPO,4
BRA1,4
PON2,4
ACL,4
CAFC,4
SUIC,4
PTRL,4
17WC,4
TS2,4
RHL,4
F19C,3
20AC,3
PL2,3
AFCN,3
AR3L,3
OLNI,3
NLAE,3
ANDP,3
NLBE,3
KR1,3
SE1,3
IT4F,3
LI1,3
LTVP,3
BCP1,3
GI1,3
MAL1,3
GIRC,3
SANP,3
RL3,3
CHPR,3
ITJF,3
19D6,3
IT1,3
ALBP,3
WMQ3,3
NLBP,3
C1,3
17P1,3
17P2,3
MAR1,3
VLBA,3
ESJP,3
GCQU,3
GOCU,3
CNLA,3
EJPD,3
NOPO,3
BRA2,3
20WC,3
CHC1,3
RU1,3
RUP,3
TSP,3
CZ3C,3
19EU,3
SERP,3
TUNP,3
TUN1,3
OL8,3
LETP,3
LET1,3
ARM1,3
WER1,2
WRPO,2
ESTP,2
FIS,2
GR1,2
FI1,2
L1,2
UAE1,2
UALC,2
TR3B,2
SK2,2
GR2,2
NLJV,2
NLEV,2
NLBV,2
NL1,2
CAN,2
KR2,2
EJPL,2
RO2,2
S21N,2
IN1L,2
IJ2B,2
BRCB,2
CPO1,2
ZYP1,2
ZYPA,2
CR1,2
HEPO,2
LLM2,2
FRCH,2
UEQ,2
ES3C,2
IT4I,2
IT4P,2
BRA3,2
RKPO,2
BRGO,2
P23A,2
MLSP,2
ITJE,2
CIT,2
ALP4,2
FRR2,2
BE21,2
VIE1,2
VPO1,2
PL1,2
CS,2
EBEL,2
19LA,2
RO1R,2
MO1N,2
EST3,2
MARP,2
E3PL,2
CIR4,2
IT4D,2
MAZ1,2
CNLQ,2
CNNF,2
IT4B,2
GB4,2
CGB,2
GBFL,2
FAC,2
UNPO,2
17LB,2
TR2,2
DKP,2
DK3O,2
FIWC,2
CLI,2
BRNP,2
CCL,2
SKC,2
ITJP,2
IJ2A,2
BUEL,2
BULS,2
NO46,2
NO1,2
CZ3M,2
RUSR,2
SER1,2
NCD1,2
SL1,2
BOS2,2
BBPO,2
MT1P,2
511,2
ISR1,2
ISPO,2
ISRA,2
SCP,2
SFA,2
SC1,2
ARPO,2
CDR,2
ITJ5,2
MEX2,2
MEXB,2
TFVP,2
ATRW,1
BLPW,1
ATRM,1
IT4H,1
BE3V,1
SEN1,1
SHPO,1
TR4D,1
TR4C,1
TR4B,1
LNR1,1
TR4P,1
GHPL,1
SK19,1
PRTD,1
NLAJ,1
NTD,1
NLAP,1
CYP2,1
SL2,1
MNE2,1
OCL,1
A4B,1
ATRO,1
VFVB,1
BE5A,1
LUAA,1
UEFA,1
LUAB,1
IT4E,1
BRAL,1
MLAC,1
MALA,1
GRD,1
AFQU,1
ANPO,1
ANCR,1
C3P2,1
ANSC,1
COPO,1
CO22,1
VN2A,1
C2P2,1
CO2T,1
VEC1,1
SU20,1
ITJ7,1
ITJ4,1
MT2P,1
MLP2,1
MAL2,1
IT3C,1
OBLC,1
BRVE,1
BRPA,1
RSK2,1
RSKA,1
RSK1,1
RRLS,1
CIR5,1
USC3,1
US3P,1
ALB2,1
GN2P,1
E4G3,1
UKRA,1
MALD,1
BASU,1
LBMI,1
OLB2,1
OLNE,1
BPP,1
K4L,1
KRC3,1
K3L,1
E4G5,1
AGSC,1
ALLP,1
OM1L,1
ILI2,1
KLUB,1
ILP3,1
LNWE,1
THLC,1
THFA,1
THA1,1
S1PO,1
MAZR,1
LTU2,1
LTSC,1
CNLC,1
UI,1
LUTP,1
ALB1,1
MYC1,1
ISP,1
IS1P,1
