player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
577416,Ivan Marijanovic,456,HNK Vukovar 1991,Goalkeeper,39,Croatia,0,8,3,4,144,28,2550,0,0,0,0,1,0,2017,2025
686717,Denis Pintol,456,HNK Vukovar 1991,Goalkeeper,26,Slovenia,22,9,5,10,275,130,11476,0,0,0,0,5,1,2017,2026
300340,Matej Markovic,456,HNK Vukovar 1991,Goalkeeper,29,Croatia,0,12,10,23,365,170,15098,0,0,0,0,16,0,2013,2026
574303,Marino Bulat,456,HNK Vukovar 1991,Goalkeeper,26,Croatia,1,9,7,3,167,27,2438,0,0,0,0,2,0,2017,2025
615107,Antonio Djakovic,456,HNK Vukovar 1991,Goalkeeper,24,Croatia,42,9,5,6,265,95,8425,0,0,0,0,8,0,2018,2026
1048866,Srdjan Nedic,456,HNK Vukovar 1991,Goalkeeper,19,Croatia,0,5,5,7,127,14,1184,0,0,0,0,2,0,2022,2026
1301211,Dominik Damjanovic,456,HNK Vukovar 1991,Goalkeeper,19,Croatia,0,4,2,3,94,1,90,0,0,0,0,0,0,2023,2026
450290,Antonio Bosec,456,HNK Vukovar 1991,Right-Back,28,Croatia,8,11,5,9,394,311,24603,8,27,56,9,53,2,2016,2026
553905,Kerim Calhanoglu,456,HNK Vukovar 1991,Left-Back,23,Germany,7,10,10,17,370,180,11928,18,23,29,11,18,26,2017,2026
985061,Jakov Gurlica,11194,NK Lokomotiva Zagreb,Centre-Back,22,Croatia,2,6,8,7,192,77,4395,3,2,17,5,17,0,2021,2026
844946,Moreno Zivkovic,144,HNK Rijeka,Centre-Back,22,Croatia,3,8,7,12,258,105,8072,2,2,8,3,15,23,2018,2026
494849,Dominik Mulac,11083,NK Rudes,Centre-Back,26,Croatia,20,11,7,10,276,224,18477,34,14,5,2,20,0,2016,2026
635146,Kristijan Pavicic,456,HNK Vukovar 1991,Right-Back,27,Croatia,16,9,4,4,184,103,7754,1,4,6,1,24,0,2018,2026
179895,Josip Elez,456,HNK Vukovar 1991,Centre-Back,32,Croatia,26,16,9,26,608,322,23944,20,12,35,5,34,7,2010,2025
828467,Paul Tabinas,419,GNK Dinamo Zagreb,Right-Back,24,Philippines,13,8,4,13,257,134,7873,6,12,17,5,22,21,2018,2026
945348,Kristijan Cabrajic,11194,NK Lokomotiva Zagreb,Left-Back,22,Croatia,20,7,5,5,227,110,7462,2,2,7,0,10,5,2019,2026
510898,Nikita Vlasenko,456,HNK Vukovar 1991,Centre-Back,25,Switzerland,5,10,11,22,282,135,9837,6,0,4,1,18,3,2017,2026
422986,Halid Sabanovic,456,HNK Vukovar 1991,Right-Back,26,Bosnia-Herzegovina,24,11,8,16,392,169,11694,12,26,6,3,32,13,2016,2026
445449,Ricardo Henning,456,HNK Vukovar 1991,Centre-Back,25,Germany,0,10,7,12,324,194,14642,6,3,11,4,11,0,2016,2025
66638,Mario Ticinovic,456,HNK Vukovar 1991,Right-Back,34,Croatia,91,20,7,23,764,464,30953,27,35,10,4,49,26,2007,2026
581306,Jakov Suver,456,HNK Vukovar 1991,Centre-Back,23,Croatia,0,9,5,12,252,100,7505,4,2,2,1,19,19,2017,2025
362548,Mario Tadic,456,HNK Vukovar 1991,Centre-Back,33,Croatia,34,12,6,7,224,146,11739,11,3,14,9,38,0,2014,2026
1158920,Luiz Farias,456,HNK Vukovar 1991,Centre-Back,22,Brazil,0,3,3,4,16,6,378,0,0,0,0,2,0,2022,2025
1151870,Lovre Kulusic,11194,NK Lokomotiva Zagreb,Centre-Forward,19,Croatia,11,5,7,9,171,76,3371,10,3,30,13,4,9,2022,2026
1022584,Robin González,456,HNK Vukovar 1991,Attacking Midfield,27,Colombia,10,6,1,4,149,137,11245,28,19,51,19,17,0,2021,2026
946962,Roko Perkovic,456,HNK Vukovar 1991,Right-Back,20,Croatia,0,5,3,7,156,35,2135,1,0,0,0,8,9,2021,2025
990110,David Mejía,327,NK Osijek,Defensive Midfield,23,Colombia,6,5,5,7,114,63,3080,2,2,27,5,19,0,2021,2026
663189,Eniss Shabani,456,HNK Vukovar 1991,Central Midfield,22,Albania,77,9,7,13,273,164,11800,11,15,24,8,31,4,2018,2026
293196,Josip Spoljaric,456,HNK Vukovar 1991,Attacking Midfield,29,Croatia,50,15,9,15,443,238,11182,51,11,66,24,20,13,2012,2026
982366,Vito Caic,327,NK Osijek,Defensive Midfield,21,Croatia,13,6,8,11,193,95,5743,5,4,23,2,18,9,2021,2026
1090783,Leoni Gastaldelo,456,HNK Vukovar 1991,Attacking Midfield,23,Brazil,0,6,6,8,121,62,3949,13,6,49,19,7,0,2020,2025
205901,Jakov Biljan,456,HNK Vukovar 1991,Defensive Midfield,30,Croatia,6,13,6,12,361,151,10328,2,7,4,0,30,5,2011,2026
1059685,Ivan Ljubicic,456,HNK Vukovar 1991,Defensive Midfield,20,Germany,0,4,4,6,76,43,3156,2,3,0,0,2,0,2022,2026
458052,Marin Pilj,456,HNK Vukovar 1991,Defensive Midfield,29,Croatia,0,10,7,10,378,264,16265,28,13,75,27,43,0,2016,2025
335427,Miran Horvat,456,HNK Vukovar 1991,Attacking Midfield,32,Croatia,0,11,6,4,197,115,6699,9,5,0,0,18,0,2013,2026
926235,Samuel Koeberlé,456,HNK Vukovar 1991,Defensive Midfield,21,France,0,6,5,11,203,108,8491,4,3,1,0,11,3,2021,2026
284737,Törles Knöll,456,HNK Vukovar 1991,Centre-Forward,28,Germany,0,14,14,25,497,362,23147,133,44,203,91,28,6,2012,2025
937973,Lovro Banovec,2362,Slaven Belupo Koprivnica,Right Winger,24,Croatia,8,6,5,3,184,142,9411,21,22,54,17,23,0,2021,2026
317824,Alen Jurilj,456,HNK Vukovar 1991,Left Winger,30,Bosnia-Herzegovina,19,13,9,14,462,246,14192,30,17,11,5,19,7,2013,2025
400831,Rafael Camacho,456,HNK Vukovar 1991,Right Winger,25,Portugal,0,11,12,32,461,221,12485,43,23,145,50,18,37,2015,2026
217751,Jakov Puljic,144,HNK Rijeka,Centre-Forward,33,Croatia,21,17,7,14,579,395,24505,121,27,214,87,60,4,2009,2026
1249161,Simun Butic,144,HNK Rijeka,Right Winger,19,Croatia,0,4,4,10,163,70,2772,8,2,28,10,6,6,2023,2026
905068,Lun Boncina,456,HNK Vukovar 1991,Centre-Forward,23,Slovenia,0,6,5,8,174,99,5615,35,11,7,3,12,0,2021,2026
918474,Luka Klanac,456,HNK Vukovar 1991,Centre-Forward,20,Croatia,33,5,6,8,148,76,3769,18,6,56,24,15,0,2021,2025
530736,Keyendrah Simmonds,456,HNK Vukovar 1991,Centre-Forward,24,England,0,9,7,14,263,109,5490,32,7,88,36,9,7,2015,2025
829159,Pocholo Bugas,456,HNK Vukovar 1991,Left Winger,24,Philippines,39,9,5,16,197,101,5400,10,19,4,1,7,28,2018,2026
496601,Tyrone Tormin,456,HNK Vukovar 1991,Second Striker,24,France,0,11,10,19,339,151,7841,31,12,52,19,4,16,2016,2026
1506194,Daniel Vinkovic,456,HNK Vukovar 1991,Attack,17,Croatia,0,2,1,3,24,6,99,0,0,0,0,0,0,2025,2026
980001,Raí,456,HNK Vukovar 1991,Left Winger,22,Brazil,0,6,5,12,138,43,2449,1,0,0,0,9,0,2021,2026
1510012,Dino Jergovic,456,HNK Vukovar 1991,Attack,19,Croatia,0,2,1,3,23,3,114,0,0,0,0,0,0,2025,2026
375856,Zvonimir Sarlija,447,HNK Hajduk Split,Centre-Back,29,Croatia,31,13,10,19,443,284,23179,7,7,64,18,90,0,2014,2026
