competition_id,n_players_with_match
WAL1,622
WALE,521
WALC,509
WALM,240
WALP,231
ECLQ,218
WA2S,168
WAL2,167
FAC,154
FAYC,133
FS,130
GBFL,124
CGB,101
ELQ,93
21PL,92
NLN6,87
GB4,86
SSC,76
CNAT,75
CLQ,70
GB3,57
GB21,44
GB18,43
GB2,41
U17Q,40
U19Q,38
NLS6,30
UCOL,27
PLIC,24
U21Q,24
19YL,21
POCO,17
POG2,16
SCP,16
IRPO,14
SFA,14
E6NP,14
IR1,13
WLC1,11
NLC,11
18GB,10
GB1,10
SC2,10
E21P,9
SC1,9
NIR1,9
17EU,8
POCC,8
IR2,7
SC3,7
GBR,7
POG3,7
E6SP,6
NIRC,6
NILC,6
IRMC,5
SCPA,5
GI1,4
IRLC,4
IR12,4
WMQ2,4
SEC,3
SC5H,3
NCD1,3
NZP1,3
SU20,3
ILIP,3
GBRN,3
UL2P,3
NIRF,3
AFCQ,3
OBLK,2
KHM1,2
MLSP,2
CPO1,2
CYP2,2
KOP1,2
KRC,2
GIRC,2
SC4,2
WMQ3,2
CNLB,2
UI,2
UEQ,2
GBRS,2
NNL1,2
NZNL,2
WMQ6,2
SC1P,2
POFD,2
EL,2
GBQ1,2
NIRE,2
CHAN,2
NIRU,2
CDN1,2
IT4D,2
TR2,2
NIR2,2
NIAR,2
FR4C,1
FR5D,1
FIP1,1
FIS,1
NOPO,1
FINJ,1
NO42,1
FJE,1
SL2,1
IT4C,1
CILP,1
IT3B,1
USC3,1
LTU2,1
LTVP,1
KO1,1
DOMC,1
FR1,1
POCP,1
FR5I,1
PO2,1
FRC,1
FR2,1
POPO,1
GCQU,1
CNNF,1
CARQ,1
CNLC,1
CNLQ,1
GOCU,1
GBEG,1
LUCL,1
RLW3,1
WFPO,1
LUXP,1
KR1,1
LUX1,1
RLP,1
RLSW,1
NSL1,1
GINC,1
GN2P,1
HK2L,1
C1,1
SCC,1
CHC1,1
GBCS,1
FARO,1
ALBP,1
ALB1,1
CL,1
SA1,1
UALC,1
UAE1,1
SAKC,1
UAEP,1
17WC,1
AA17,1
FARQ,1
NIPP,1
SE2,1
ES3C,1
ES2P,1
NASC,1
SE1,1
CAN,1
CAPL,1
ISP,1
NZL1,1
IRPC,1
SANP,1
OBLG,1
ITJ4,1
OLRP,1
USL,1
SWP,1
SC3M,1
JUNO,1
EURO,1
EMQ,1
PLJR,1
PLJW,1
MO1N,1
MWP1,1
AFCN,1
GE2P,1
GE1N,1
CAFC,1
TUN1,1
BH2S,1
RLB3,1
BVP,1
LBNW,1
DFBJ,1
RO2,1
OLMR,1
NIMC,1
ISPO,1
IS2,1
BJ1,1
R2AO,1
SKC,1
AJ1,1
ISR2,1
BJ2,1
TRP,1
SE3N,1
