player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1162689,Patrik Kovac,1014,HSK Posusje,Goalkeeper,17,Bosnia-Herzegovina,0,3,2,4,103,59,4957,0,0,0,0,3,1,2023,2025
360677,Zvonimir Subaric,6808,HSK Zrinjski Mostar,Goalkeeper,29,Croatia,31,13,5,6,387,190,16877,0,0,0,0,12,0,2014,2026
45022,Antonio Soldo,1014,HSK Posusje,Goalkeeper,38,Bosnia-Herzegovina,1,19,6,10,598,194,16913,0,0,0,0,5,1,2007,2025
430989,Aldin Ceman,1014,HSK Posusje,Goalkeeper,31,Bosnia-Herzegovina,0,12,8,4,365,201,17729,0,0,0,0,21,0,2014,2025
556044,David Denkovski,1014,HSK Posusje,Goalkeeper,25,North Macedonia,0,9,5,9,255,78,6696,0,0,0,0,8,16,2017,2025
1430854,Luka Mikulic,1014,HSK Posusje,Centre-Back,20,Bosnia-Herzegovina,0,4,3,7,80,38,3035,0,0,4,1,5,1,2022,2026
941457,Luka Posinkovic,1014,HSK Posusje,Right-Back,22,Croatia,0,6,9,10,173,118,8224,2,4,2,1,16,0,2021,2026
393846,Dejan Kerkez,1014,HSK Posusje,Centre-Back,30,Serbia,5,11,8,15,451,266,22481,8,1,33,4,31,0,2015,2025
349015,Ivan Novoselec,1014,HSK Posusje,Centre-Back,30,Croatia,33,11,9,15,311,197,15650,18,3,18,3,32,0,2014,2025
909618,Branko Curdo,1014,HSK Posusje,Left-Back,20,Bosnia-Herzegovina,4,3,2,3,104,65,3306,4,0,0,0,3,0,2021,2025
314269,Valentino Majstorovic,1014,HSK Posusje,Right-Back,30,Croatia,70,13,3,4,374,283,20838,43,7,41,16,26,0,2013,2025
1443346,Filip Milovic,1014,HSK Posusje,Centre-Back,24,Croatia,44,1,2,2,34,18,1410,0,1,0,0,1,0,2025,2025
344915,Slavisa Radovic,11040,FK Radnik Bijeljina,Left-Back,32,Serbia,3,12,12,11,439,271,20062,7,33,7,1,86,0,2014,2025
921759,Dominik Pavlek,1014,HSK Posusje,Centre-Back,25,Croatia,0,5,6,6,174,114,8451,12,3,3,1,21,0,2021,2025
588058,Stipan Krizanac,1014,HSK Posusje,Left-Back,27,Bosnia-Herzegovina,0,6,3,4,167,130,10199,9,12,0,0,22,0,2017,2025
586144,Josip Beslic,1014,HSK Posusje,Right-Back,26,Bosnia-Herzegovina,20,9,5,7,291,182,12873,10,8,0,0,23,0,2016,2025
590549,Mate Lasic,1014,HSK Posusje,Centre-Back,24,Bosnia-Herzegovina,30,10,6,9,329,202,15413,4,5,0,0,35,11,2016,2025
665276,Dominik Braun,1014,HSK Posusje,Centre-Back,22,Croatia,0,8,9,12,174,100,7650,10,0,0,0,15,11,2018,2025
