competition_id,n_players_with_match
BRA2,857
BRC,789
BRA1,524
BCP1,385
SPjr,379
BRNE,370
CS,332
BRA3,329
CLI,280
BRVE,276
BRA4,262
CB20,253
BRPR,239
CSUS,231
BRGO,223
BRSC,219
BRCM,213
BRNF,201
BCPF,195
BRRS,180
BRCG,162
BRPE,151
BRCE,146
POPO,120
BCP2,118
C20P,109
RS2f,109
BRC2,103
BRCR,101
PO1,97
BRCB,97
BRAL,96
POCP,92
PO2,88
BRNP,82
BRCF,81
BCE1,79
BRP6,69
BRPA,65
RECO,61
FS,60
BRMS,59
brti,50
JEMP,47
BRga,46
KLUB,40
EL,39
SCBR,35
ELQ,35
RCBR,34
JAP1,32
CLQ,31
ECLQ,29
ARCA,28
JAPC,28
AR1N,26
CL,25
CLIY,24
2SAM,24
RKPO,24
PT23,23
JAP2,22
TDV,20
MLS1,20
SURU,19
URUC,19
BRPB,19
BRMA,18
CDLP,18
RSK1,18
AFCL,18
URU1,17
USMX,16
UAE1,16
UAEP,16
URUI,16
TR1,16
PTRL,15
MLSP,15
UKR1,15
GR1,15
BRRN,14
ARGC,14
CCB,14
17WC,13
CHFA,13
PT3A,13
SA1,13
SAKC,13
UKRP,13
UALC,13
COLP,13
PLIC,13
URUP,13
COL1,13
COPO,13
GRP,13
TRP,13
ARG1,12
MEX1,12
MEXA,12
CSL,12
CIT,11
IT1,11
ARLC,11
RSFF,11
URP1,11
RSK2,11
ARY3,11
20WC,11
BE1,11
BRDF,11
POUS,10
BRSE,10
URSC,10
RUP,9
FRC,9
CDR,9
MNP3,9
IN1L,9
ES2,9
ARG2,9
CPF1,9
19YL,9
POSU,9
FRL,8
RU1,8
PTPR,8
COLF,8
PR1C,8
ZYP1,8
CPO1,8
EL1A,8
EL1S,8
WMQ4,8
CDCA,8
S1PO,8
CH1C,8
CLPD,8
RO1,8
UCOL,8
BU1,7
BULP,7
FR1,7
ACLE,7
P23C,7
THA1,7
PR1A,7
ISPO,7
COLO,7
CPSD,7
PL1,7
ROMP,7
BE2,7
CLO,6
BRCC,6
C1,6
SCC,6
SA2L,6
CCL,6
CDCO,6
POME,6
BO1C,6
COSP,6
ISR1,6
ECUP,6
ACLQ,6
VIE1,6
CO2T,6
BULS,6
POGR,6
AZ1,6
ASPK,6
BPO4,6
AUS1,6
POPU,6
P232,5
USSP,5
FFAC,5
BO1A,5
IT2,5
EC1N,5
KREG,5
ACL,5
CLPI,5
BU2,5
POMX,5
CPSA,5
URUE,5
URU2,5
TR2,5
IRN1,5
MWP1,5
RSKM,5
MARG,5
AUSF,5
BRPI,5
FIC1,4
SAM7,4
BRES,4
CPSP,4
CMR2,4
SCI,4
MEXB,4
MXCC,4
B1AP,4
MEX2,4
ES2P,4
ISRA,4
P3As,4
THLC,4
THFA,4
LPPL,4
LET1,4
VPO1,4
CO22,4
P23Q,4
ISRF,4
GB2,4
RSKA,4
POBE,4
RO1R,4
ECSC,4
CPSB,4
IRNP,4
FIYO,4
GRS2,4
A2,4
A1,4
ofb,4
BE2E,4
MO1N,4
ES3A,4
J1PO,4
E3PP,3
ES1,3
UNG1,3
CITP,3
CILP,3
USL,3
UKRM,3
CPMX,3
BO12,3
B1P1,3
E4G3,3
E3FA,3
ES3C,3
ARM1,3
SER1,3
SERP,3
P2RL,3
BRP3,3
ACL2,3
LETP,3
DK1,3
UKR2,3
AR2T,3
A2TP,3
FAC,3
CGB,3
QSL,3
QEC1,3
RO1C,3
URU3,3
CA16,3
BCE2,3
BVC1,3
B1P2,3
VZ1C,3
VZ1A,3
CO2P,3
COPA,3
JAP3,3
COBI,3
TDeA,3
PERF,3
TDeC,3
UKRA,3
AFCC,3
JASP,3
K4L,3
PLSC,3
DKP,3
SE1,3
SEC,3
SLO1,3
SKC,3
BRP1,2
CPSC,2
UNGP,2
IT3A,2
IJ2A,2
C2,2
CHC3,2
SCIN,2
A1P2,2
SCAG,2
A1P1,2
MXBA,2
E3G2,2
E3G1,2
PUSB,2
OLYM,2
ARPO,2
SAM2,2
BRQR,2
K3L,2
OLCF,2
C2P2,2
ALPS,2
ASCC,2
USLP,2
KAS1,2
KR1,2
EJPD,2
21PL,2
GBFL,2
GB21,2
BRAC,2
GEP1,2
CFMF,2
QSCP,2
POSB,2
ITJE,2
ITJ1,2
ISR2,2
U19Q,2
ES3D,2
DFB,2
ZYPA,2
MAL1,2
FR2,2
P23A,2
MOP2,2
RU2,2
ZYPM,2
CHLA,2
CHL1,2
ALPL,2
BUEL,2
ROMS,2
CYSC,2
JL12,2
JL11,2
LET2,2
DKRE,2
WMQ2,2
BRAM,2
M20C,2
IRQ1,2
FR4C,2
FRCH,2
RESE,2
J1YV,2
P3Au,2
POLL,2
EJPL,2
ESJP,2
SLMR,2
BRTO,2
CHSC,2
FIS,2
CAN,2
JO1L,1
E4G1,1
RUSS,1
FR5H,1
UZ1,1
KOBU,1
IT3P,1
BASU,1
CHC2,1
SAUR,1
ACQU,1
SR1C,1
INDC,1
ECP1,1
NO1,1
NOPO,1
SFA1,1
NEDC,1
TELK,1
FR5F,1
IT4Y,1
FR5B,1
CHPR,1
KRC,1
MNE1,1
KR2,1
GB1,1
UKRS,1
GEO2,1
19EU,1
SUC,1
BE21,1
UART,1
UARP,1
CSLC,1
NLBE,1
NL2,1
NLBV,1
NLP,1
ES3B,1
CHIÜ,1
L1,1
EGY1,1
REKR,1
EGLC,1
EGYP,1
ESCU,1
VZ1P,1
VZ1L,1
VZOC,1
BOS1,1
ALB1,1
ALBP,1
ECP3,1
CHC1,1
S2PO,1
CAMC,1
M20A,1
MESC,1
BE2A,1
POWM,1
PERD,1
K3MP,1
MNPP,1
PEDI,1
Inka,1
PERC,1
PL2,1
IRP5,1
ITJ3,1
IT3C,1
SCIJ,1
SCIC,1
ES3E,1
MAR1,1
MEC1,1
MARP,1
CAFC,1
ROPC,1
CEF1,1
SAUP,1
SASS,1
POCC,1
CSLR,1
GE1N,1
GESC,1
QU2L,1
DKMR,1
PN1F,1
PNF1,1
PN1A,1
CNLA,1
WMQ3,1
GOCU,1
CNNF,1
PN1C,1
COLE,1
UR2T,1
UN2,1
C1P1,1
IND1,1
INSC,1
INPP,1
MALC,1
MALD,1
AFCQ,1
CNPS,1
AFCN,1
PL31,1
GB3,1
POT2,1
SE2,1
IJ1,1
CSSP,1
SK2,1
SLAR,1
GRPL,1
ECSE,1
MYS1,1
ACO1,1
MXBC,1
CHLP,1
