player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
647912,Karim Yehia,68770,Modern Sport Club,Centre-Back,28,Egypt,13,8,5,6,271,142,10466,6,4,27,9,18,1,2018,2025
1423136,Mohamed Hagras,43316,Kahraba Ismailia,Goalkeeper,28,Egypt,16,1,1,4,41,9,810,0,0,0,0,2,0,2025,2025
1075456,Ali El Gabry,3963,Ittihad Alexandria SC,Goalkeeper,25,Egypt,0,5,2,10,202,27,2460,0,0,0,0,1,3,2021,2025
1552728,Ahmed Abdallah,43316,Kahraba Ismailia,Goalkeeper,21,Egypt,36,1,1,1,1,0,0,0,0,0,0,0,0,2025,2025
1148734,Farag Shawky,43316,Kahraba Ismailia,Goalkeeper,29,Egypt,23,3,2,4,43,10,960,0,0,0,0,0,0,2022,2025
1050902,Mohamed Yassine Abouzra,43316,Kahraba Ismailia,Centre-Back,29,Morocco,0,6,5,10,156,91,7509,11,0,7,2,13,0,2020,2025
468831,Joseph Ngwem,43316,Kahraba Ismailia,Left-Back,34,Cameroon,12,12,4,12,341,220,18034,14,38,123,38,24,8,2014,2025
1423137,Hassan El Shazly,24297,Qanah FC,Right-Back,31,Egypt,0,2,2,4,42,32,2485,2,7,11,3,2,0,2023,2025
879614,Ibrahim Awad,43316,Kahraba Ismailia,Centre-Back,30,Egypt,4,3,3,4,45,17,1303,0,1,2,1,2,0,2019,2025
1423138,Essam El Fayoumi,43316,Kahraba Ismailia,Left-Back,32,Egypt,3,2,2,4,42,34,1805,1,2,8,2,4,0,2022,2025
453923,Seif Elkhashab,9218,Enppi SC,Centre-Back,28,Egypt,0,5,5,9,179,73,4889,2,2,14,4,12,0,2017,2025
1423139,Mohamed Medhat,43316,Kahraba Ismailia,Centre-Back,20,Egypt,66,1,1,4,41,10,715,0,0,1,0,2,0,2025,2025
1300227,Mohamed Osam,9218,Enppi SC,Centre-Back,23,Egypt,0,3,2,4,70,3,116,0,0,0,0,0,0,2023,2025
1111713,Léance Roméo Namgbema,43316,Kahraba Ismailia,Centre-Back,20,Central African Republic,88,4,2,8,33,23,1802,0,0,1,0,6,12,2022,2025
842892,Mostafa Koshari,43316,Kahraba Ismailia,Right-Back,31,Egypt,7,5,4,4,45,34,1513,0,0,8,1,5,0,2017,2025
1094981,Mohamed Said,43316,Kahraba Ismailia,Left-Back,32,Egypt,0,6,3,4,34,11,764,0,0,0,0,0,0,2020,2025
1497635,Mohamed Abdelmonem,9218,Enppi SC,Centre-Back,22,Egypt,0,3,2,4,85,1,84,0,0,1,0,0,0,2023,2025
975350,Ahmed Hamzawi,16216,Petrol Asyut,Defensive Midfield,30,Egypt,0,3,3,4,74,51,3279,2,1,22,11,12,0,2021,2025
1165219,Abdelfattah Sheta,13446,Ghazl El Mahalla,Centre-Back,24,Egypt,0,2,2,4,81,46,3098,1,2,9,2,12,0,2023,2025
1461668,Youssef Galal,43316,Kahraba Ismailia,Central Midfield,23,Egypt,19,1,1,4,41,18,927,0,0,4,2,2,0,2025,2025
426734,Serge Arnaud Aka,43316,Kahraba Ismailia,Defensive Midfield,31,Cote d'Ivoire,28,11,7,13,305,160,11013,2,2,31,8,30,0,2015,2025
1423109,Mamadu Sillah,43316,Kahraba Ismailia,Defensive Midfield,22,Sierra Leone,6,1,1,4,41,18,1192,0,0,6,0,3,0,2025,2025
981050,Maged Hany,47010,Zed FC,Central Midfield,23,Egypt,0,5,4,7,130,70,4142,2,2,37,10,9,10,2021,2025
830076,Mohamed Hamdi,43316,Kahraba Ismailia,Attacking Midfield,23,Egypt,21,6,6,4,87,4,103,0,0,0,0,0,0,2019,2025
983422,Seif El Agouz,39575,Abo Qir Fertilizers,Defensive Midfield,24,Egypt,0,5,5,5,185,49,2438,1,0,17,4,7,0,2021,2025
340298,Islam Abdelnaim,43316,Kahraba Ismailia,Attacking Midfield,33,Egypt,18,11,8,5,423,254,13937,17,16,102,38,17,0,2014,2025
1438998,Abdelrahman Boda,43316,Kahraba Ismailia,Attacking Midfield,20,Egypt,44,1,1,4,41,2,74,0,0,0,0,0,0,2025,2025
626604,Mohamed Eldarf,43316,Kahraba Ismailia,Defensive Midfield,26,Egypt,26,7,4,5,201,26,921,0,0,1,0,1,0,2018,2025
1435400,Jordan Ajuah Nkengafack,43316,Kahraba Ismailia,Central Midfield,21,Cameroon,0,1,1,1,8,1,28,0,0,0,0,0,0,2025,2025
702910,Ali Sulieman,43316,Kahraba Ismailia,Centre-Forward,26,Eritrea,13,6,2,8,90,72,5789,38,5,72,35,11,6,2019,2026
490268,Mohamed Shika,43316,Kahraba Ismailia,Centre-Forward,29,Egypt,29,5,3,4,50,45,2451,12,1,43,16,4,0,2016,2025
580298,Benjamin Bernard Boateng,43316,Kahraba Ismailia,Centre-Forward,25,Ghana,77,8,6,8,230,169,10312,40,7,115,45,22,0,2017,2025
1423140,Abdallah Maradona,43316,Kahraba Ismailia,Left Winger,24,Egypt,10,1,1,4,41,26,691,2,2,11,2,2,0,2025,2025
1332757,Mohamed Farouk,23387,Smouha SC,Right Winger,27,Egypt,0,2,2,5,42,27,1476,0,4,11,2,0,0,2024,2025
1321117,Juhayna,43316,Kahraba Ismailia,Left Winger,26,Egypt,25,2,2,4,73,23,1046,0,2,10,0,2,0,2024,2025
365354,Mohamed Ounajem,43316,Kahraba Ismailia,Right Winger,34,Morocco,0,12,6,16,557,368,21619,38,81,59,26,34,10,2014,2025
314216,Omar El Said,43316,Kahraba Ismailia,Centre-Forward,35,Egypt,11,14,10,10,523,296,14441,56,13,152,53,41,1,2012,2025
1229487,Omar Fishawy,43316,Kahraba Ismailia,Left Winger,21,Egypt,27,3,2,5,84,1,4,0,0,0,0,0,0,2023,2025
341217,Karim Ashraf,39575,Abo Qir Fertilizers,Centre-Forward,31,Egypt,20,6,5,3,81,23,977,0,1,11,4,1,0,2014,2025
304653,Karim Mamdouh,43316,Kahraba Ismailia,Right Winger,33,Egypt,0,12,7,5,312,139,6444,3,9,11,3,9,4,2012,2025
