player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1237027,Luca Bruno,41101,Juventus Next Gen,Goalkeeper,18,Italy,28,3,3,9,132,9,706,0,0,0,0,1,0,2023,2025
925864,Matteo Fuscaldo,41101,Juventus Next Gen,Goalkeeper,21,Italy,29,6,10,19,280,34,2885,0,0,0,0,1,0,2021,2026
650989,Simone Scaglia,41101,Juventus Next Gen,Goalkeeper,21,Italy,1,9,6,17,346,51,4506,0,0,0,0,3,7,2018,2026
942058,Stefano Mangiapoco,41101,Juventus Next Gen,Goalkeeper,22,Italy,22,6,6,11,219,136,12216,0,0,0,0,6,0,2021,2026
1058348,Sebastiano Nava,41101,Juventus Next Gen,Goalkeeper,17,Italy,0,4,4,11,126,32,2535,0,0,0,0,1,16,2022,2025
741090,Jonas Rouhi,41101,Juventus Next Gen,Left-Back,22,Sweden,0,9,6,19,301,170,11386,5,17,8,2,13,35,2018,2026
1160260,Javier Gil,41101,Juventus Next Gen,Centre-Back,19,Spain,3,4,4,12,147,88,7529,2,5,2,0,21,1,2023,2026
1082581,Pedro Felipe,41101,Juventus Next Gen,Centre-Back,21,Brazil,0,7,6,12,170,57,4337,3,4,0,0,9,0,2019,2026
715894,David Puczka,41101,Juventus Next Gen,Left-Back,21,Austria,7,7,7,14,240,158,10264,35,14,0,0,18,18,2020,2026
650249,Riccardo Turicchia,41101,Juventus Next Gen,Left-Back,23,Italy,0,9,7,21,342,230,15699,16,14,15,6,16,37,2018,2026
988993,Francesco Verde,41101,Juventus Next Gen,Centre-Back,19,Italy,0,6,4,16,220,142,10691,7,6,4,1,23,47,2021,2026
1088322,Shane van Aarle,41101,Juventus Next Gen,Centre-Back,19,Netherlands,24,5,5,13,161,68,5464,3,1,3,0,3,3,2022,2026
1150916,Bruno Martinez,41101,Juventus Next Gen,Centre-Back,19,Spain,31,4,3,9,134,73,6044,3,1,3,0,9,1,2023,2026
1056171,Alessandro Bassino,41101,Juventus Next Gen,Centre-Back,20,Italy,0,5,6,13,222,82,6140,3,1,2,0,13,5,2022,2026
925841,Federico Savio,41101,Juventus Next Gen,Right-Back,20,Italy,15,6,6,13,228,140,10146,4,9,3,1,17,0,2021,2026
898821,Mattia Brugarello,41101,Juventus Next Gen,Centre-Back,20,Italy,18,7,5,13,196,108,8342,4,1,0,0,33,0,2020,2026
163597,Filippo Scaglia,41101,Juventus Next Gen,Centre-Back,34,Italy,23,17,10,16,696,428,37242,15,6,21,3,73,0,2009,2025
753619,Andriy Firman,41101,Juventus Next Gen,Right-Back,21,Ukraine,0,5,8,15,171,99,6243,8,4,0,0,12,3,2021,2025
567453,Gabriele Mulazzi,41101,Juventus Next Gen,Right-Back,23,Italy,6,10,6,21,371,178,12501,10,21,6,1,15,33,2017,2026
