competition_id,n_players_with_match
URUI,542
URU1,535
URUC,411
URP1,407
CS,347
CLI,318
URU2,240
FS,168
URUP,168
UR2T,163
URU3,153
URSC,133
ARCA,121
AR1N,98
CDLP,67
2SAM,67
CLIY,62
URUE,61
ARG1,52
20WC,48
ARG2,45
CH1C,44
MEXA,43
MEX1,41
CLPI,41
BRC,40
ARY3,40
CLPD,39
SAM7,37
ARGC,36
CLPF,36
CDCA,36
BRA1,32
WMQ4,28
ARLC,26
POME,25
BRA2,25
SAM2,24
POMX,23
COPA,22
CCL,21
CDR,21
CPP2,20
USMX,20
CL2B,20
ECUP,20
FIWC,19
CIT,18
COPO,17
COL1,17
EL,17
IT1,17
COLP,16
ELQ,16
ES1,16
ES2,16
OLCF,15
PR1A,15
EL1A,15
MEX2,15
MXCC,15
CPP1,15
CA16,14
URPL,14
TDCS,14
M20C,14
URE2,14
EL1S,14
A2TP,14
PR1C,13
A1P2,13
POPO,13
A1P1,13
SCAG,13
CPMX,13
COLO,12
UR2S,12
M20A,12
17WC,12
MEXB,12
TDeA,11
EC1N,11
CDCO,11
BRGO,10
CL,10
SA15,10
TDeC,10
BO1A,10
CLQ,9
POCP,9
PO1,9
IT2,9
RECO,9
SCC,9
BRPR,9
MXCA,9
CSUC,8
MLS1,8
POWM,8
COLF,8
BRCG,8
MXBA,8
AR3B,8
MLSP,7
OLYM,7
CL2P,7
AR2T,7
KLUB,7
POUS,7
CITP,7
FIYO,7
BRVE,7
MARG,7
ALPS,6
RUP,6
BRRS,6
RU1,6
FAC,6
BRSC,6
MXSC,6
PO2,6
HOC1,6
HOCP,6
ARG3,5
USSP,5
CONC,5
GB1,5
CGB,5
GR1,5
GRP,5
BCP1,5
BRCR,5
BRNE,5
CCB,5
C2,5
AJSC,5
BVC1,5
ES1P,5
HO1A,5
CCAC,5
FR1,4
FRC,4
TR1,4
SA1,4
TRP,4
GB2,4
COBI,4
TDV,4
ITJ3,4
CILP,4
IT3P,4
LPPL,4
ECSE,4
ECPE,4
MXBC,4
ECP2,4
BRNF,4
SCIN,4
EC2L,4
MNP3,4
VEC1,4
AR3C,4
HOAP,4
KAS1,3
C220,3
ES3C,3
PDV1,3
SAKC,3
ECLQ,3
FR2,3
FRL,3
COSP,3
RO1,3
SUC,3
NL1,3
NLP,3
C1,3
CO2T,3
CO2P,3
PERF,3
IJ2B,3
PUSB,3
POSB,3
PR1P,3
ECSC,3
BE1,3
IJ1,3
ECP3,3
S1PO,3
BRPE,3
CAMC,3
CHPR,3
SURU,3
IT3B,3
USL,3
CEF1,3
ES3A,3
ES3D,3
VZ1A,3
VZOC,3
VZ1C,3
VZ1L,3
C1P2,3
RKPO,3
RSK2,3
AR3D,3
SPjr,3
BO12,3
BRA3,3
AR3P,2
KAZP,2
WMQ3,2
GOCU,2
CNLA,2
CNNF,2
CENC,2
DFB,2
L2,2
RUJL,2
CLLC,2
GB21,2
NLSC,2
NLBE,2
BASU,2
BCPF,2
C2P2,2
CO22,2
BRC2,2
ITJE,2
PER2,2
SCJ2,2
IT3C,2
ACLE,2
UAEP,2
M23C,2
POCC,2
BCE1,2
SC14,2
BRCE,2
BRCM,2
SCI,2
BCP2,2
FFAC,2
QSL,2
BRCF,2
QSCP,2
A3RP,2
AR3F,2
NL2,2
ALPL,2
POAR,2
PLIC,2
BO1C,2
ES3B,2
POBE,2
ESJP,2
BE2,2
EJPD,2
MNPP,2
E3G2,2
BRP6,2
CSUS,2
C1P1,2
JAPC,2
JEMP,2
ALB1,2
ALBP,2
E3PL,2
CSL,2
CHFA,2
BRA4,2
CB20,2
C20P,2
MOP2,2
MWP1,2
GU1A,2
GRS2,2
PEP4,2
KASC,1
PN1C,1
PN1F,1
CACP,1
CUCF,1
PNF1,1
PN1A,1
C3NO,1
OLCC,1
CRPO,1
DK1,1
CRPD,1
GCQU,1
CISP,1
PDV2,1
CRPV,1
RLN4,1
RUSR,1
L1,1
C3OC,1
ROMP,1
POSU,1
GBR,1
POGR,1
GBCS,1
UCOL,1
RS2f,1
Inka,1
UALC,1
UAE1,1
CBII,1
SCPM,1
SFA,1
SC1,1
SCP,1
BRMS,1
RCBR,1
UKRP,1
UKR1,1
AUS1,1
QEC1,1
A2,1
ATRO,1
GRSC,1
GRPL,1
ITJ7,1
IJ2A,1
ITJP,1
NLBA,1
NLAJ,1
U19Q,1
ACO1,1
E3FD,1
ISPO,1
ISR1,1
IRLP,1
ISRF,1
CN2C,1
L2PO,1
BE2E,1
BRNP,1
CHDP,1
POG2,1
GB4,1
GBFL,1
FR3,1
SLO1,1
SKC,1
VZ1P,1
USLC,1
BPO4,1
EJPL,1
NO1,1
VZOA,1
JAP3,1
AR3A,1
ITJ1,1
KREG,1
M21C,1
PL2L,1
PL1,1
POPU,1
CHL2,1
CH2C,1
SL1C,1
RO2,1
B1AP,1
B1P1,1
ECPL,1
BRPA,1
BRAL,1
E3FA,1
ES2P,1
UEFA,1
PTRL,1
CFMF,1
PTPR,1
PT23,1
P232,1
LIB1,1
E3PP,1
E4G5,1
BU1,1
M2L1,1
CHL1,1
JAP1,1
C3P1,1
FRR1,1
UZ1,1
KOBU,1
SUIC,1
CHC3,1
MO1N,1
IT4G,1
GN2P,1
GIRC,1
GI1,1
USLP,1
GU1C,1
GUPC,1
GUPA,1
CHIÜ,1
URL3,1
P2PL,1
NC1A,1
CNIC,1
ARM1,1
ARPO,1
USC,1
SA2L,1
IT4H,1
