competition_id,n_players_with_match
RSK1,484
RKPO,478
FS,260
RSK2,255
KREG,211
K18C,186
ACLE,177
RSKA,176
RSKM,171
AFCL,155
K4L,99
KSC1,80
23AF,80
A23Q,79
ACL2,78
ACLQ,67
K3L,67
EAFC,58
WMQ1,57
20WC,56
KLUB,46
ACEQ,45
A168,43
A920,37
JEMP,36
17WC,36
AU2C,35
AFAC,34
FIWC,33
OLYM,31
KRC3,31
AG18,29
JAPC,28
JAP1,26
BRC,26
ELQ,26
A169,23
JAP2,21
PO1,21
BRA2,21
POPO,20
ECLQ,19
BRA1,18
DFB,17
POCP,15
KLCP,14
BRA3,13
KREL,13
CLQ,13
L2,11
BCP1,11
POPU,11
PL1,11
BRA4,10
OQAF,10
CS,10
PO2,10
U21Q,10
EL,10
W23C,10
K4MP,9
JAP3,9
CHFA,9
CSL,9
RKNL,9
A198,9
UAEP,9
BRSC,8
BRCM,8
BRGO,8
CDR,8
U17Q,8
U19Q,8
AA17,7
KNLP,7
UALC,7
UAE1,7
BRPR,6
BRVE,6
SPjr,6
BCPF,6
PT23,6
ES2,6
L1,6
MLS1,6
PLIC,6
SE2,6
SEC,6
BRRS,6
BCP2,6
FAC,6
KNPL,6
K3MP,5
SER1,5
BE1,5
CCB,5
UCOL,5
BRNE,5
BRCE,5
BRNF,5
ES3C,5
WMQ6,5
EMQ,5
ISRF,5
ISR1,5
POUS,5
J1PO,5
RLN3,5
TS1,5
CZ3C,5
A192,5
SE1,5
MLSP,5
CGB,5
QSL,4
QEC1,4
BCE1,4
19YL,4
ISPO,4
ES1,4
TRP,4
CPO1,4
ZYP1,4
RLB3,4
NLBE,4
NLBV,4
CLI,4
L3,4
JASP,4
TSP,4
DKP,4
KRC,4
KR1,4
ofb,4
A2,4
BRMS,4
BRCG,4
SERP,4
ES2P,4
THA1,4
FRC,3
QSCP,3
SA2L,3
BRCB,3
GE1N,3
ALBP,3
UNLC,3
ALB1,3
LET1,3
CL,3
LETP,3
TR1,3
JFL,3
NLP,3
PON2,3
NL2,3
NL1,3
AZ1,3
DK2,3
ASPK,3
T1AR,3
NLBB,3
NLJB,3
SC1,3
SFA,3
PL2,3
TR2,3
JL12,3
CCL,3
TS2,3
SE3N,3
S21N,3
SER2,3
GB1,3
GB2,3
ES3A,3
21EU,3
POSU,3
RLSW,3
KLS1,3
KLS2,3
P23Q,3
PTRL,3
THLC,3
THFA,3
AUS1,2
FFAC,2
FR1,2
QUC1,2
FRL,2
AF15,2
DFBJ,2
CSLC,2
brti,2
BRPE,2
TDV,2
RO2,2
CB20,2
BRDF,2
POSB,2
IT2,2
CIT,2
ALBS,2
UKRP,2
UKR1,2
RU1,2
LET2,2
AFCQ,2
WMQ2,2
511,2
MNP3,2
USMX,2
ACQU,2
AJ1,2
FR2,2
FR5D,2
FLAP,2
NLJV,2
DK1,2
NLAE,2
KR2,2
UASC,2
PONL,2
NLAJ,2
EJPL,2
SURU,2
RESE,2
S21P,2
ATRO,2
RS2f,2
FIS,2
USSP,2
CLO,2
GBFL,2
GB3,2
JL11,2
MEX1,2
URUC,2
URU1,2
MEXA,2
POMX,2
URUI,2
URU2,2
URP1,2
CZ3M,2
MNE1,2
MNEC,2
MNE2,2
UNLB,2
SR1C,2
ISRA,2
GEP1,2
ISR2,2
RLW3,2
AJ2,2
17EU,2
BRES,2
BRAL,2
ES3D,2
ES1P,2
MYSP,2
MYC1,2
MYS1,2
SAKC,2
SCP,2
ARM1,2
ARPO,2
ES3B,2
GB21,2
MEX2,2
MEXB,2
CZ19,2
ASCC,2
MO1N,2
AUSF,1
QSJ1,1
19D4,1
MAY2,1
PL32,1
ROMP,1
IT4A,1
IT4O,1
CSPF,1
IT4E,1
RO1C,1
CSSF,1
ITJ3,1
RO1,1
ITC4,1
SMP1,1
CITP,1
IT4G,1
ITJ1,1
ITJE,1
IT4I,1
SMRP,1
R2AP,1
SMRS,1
RO1R,1
CSUS,1
IT1,1
P232,1
L1PO,1
SLO1,1
SKC,1
LI1,1
BTCU,1
LTU2,1
UNPO,1
LTVP,1
AFCN,1
ZYPM,1
KAS1,1
KASC,1
KAZM,1
KAZP,1
NDDA,1
MNPP,1
C20P,1
TRIN,1
BVFP,1
CAFC,1
20AC,1
ACL,1
FR5G,1
PL2L,1
PLSC,1
L2PO,1
HEPO,1
DKRE,1
NLBP,1
SL2,1
SLP,1
SL1,1
NO1,1
NOPO,1
NO2,1
RTIP,1
NO46,1
ISL,1
EURO,1
IS2,1
ISP,1
POEM,1
UNLA,1
IS1,1
A4N,1
NTD,1
DK2R,1
BAPO,1
CHSC,1
JGD2,1
FIC1,1
JUSÖ,1
S21S,1
A1,1
OLCC,1
FI1,1
FIL,1
F1CL,1
NCD1,1
P3As,1
PT3A,1
BRCF,1
RNME,1
SAPO,1
SUNC,1
SAM7,1
RCBR,1
POME,1
UR2T,1
M20C,1
CZ21,1
CZJ2,1
ALG1,1
JUNO,1
ALGP,1
POT2,1
SR1R,1
RSER,1
JPR2,1
OBLK,1
NP34,1
HBPO,1
WFPO,1
EGY1,1
EGRP,1
EGLC,1
ALP3,1
BOS1,1
BIHP,1
PL34,1
J18W,1
ES3P,1
E3FA,1
FARQ,1
ARCP,1
AFCC,1
IRQ1,1
WAF1,1
SASS,1
SA1,1
FRYC,1
FR5J,1
PLJW,1
PL31,1
PL33,1
SU20,1
PLJF,1
SCPM,1
UKRM,1
COL1,1
AJ3,1
LPB1,1
SRPO,1
UNG1,1
BEL3,1
POCC,1
19EU,1
BRAM,1
ARSC,1
BRNP,1
BRPB,1
MAZ1,1
SA2P,1
FR5E,1
FRR1,1
