player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1094512,Tobías Sanabria,7098,Club Nacional Asunción,Central Midfield,22,Paraguay,16,4,3,6,126,17,650,0,0,3,0,1,7,2022,2025
679102,Luis Vargas,19124,Club Sportivo San Lorenzo,Left-Back,25,Paraguay,0,8,2,6,305,34,1769,0,0,0,0,2,0,2018,2025
661223,Wílder Viera,1214,Club Cerro Porteño,Central Midfield,24,Paraguay,20,9,3,12,354,167,9727,6,9,61,15,53,30,2016,2025
688779,Alan Soñora,1214,Club Cerro Porteño,Attacking Midfield,27,United States,7,9,6,17,324,151,7974,14,12,79,22,6,5,2017,2025
661265,Rodrigo Melgarejo,7098,Club Nacional Asunción,Centre-Back,24,Paraguay,22,8,6,16,279,67,3900,2,1,17,7,20,7,2018,2025
1156760,Bruno Díaz,11855,Club Guaraní,Attacking Midfield,21,Paraguay,6,4,3,4,84,38,2085,1,0,0,0,10,0,2022,2025
704475,Diego Torres,629,Club Olimpia,Attacking Midfield,23,Paraguay,0,9,6,12,311,103,5796,17,12,64,21,28,6,2016,2025
1119123,Richard Torales,95571,Sportivo Ameliano,Centre-Forward,25,Paraguay,17,4,2,5,180,135,6682,23,3,123,57,8,1,2022,2025
660894,Carlos Arrúa,11855,Club Guaraní,Attacking Midfield,29,Paraguay,21,9,4,9,329,193,11336,29,24,133,43,37,0,2016,2025
1371699,Líder Cáceres,7098,Club Nacional Asunción,Centre-Back,21,Paraguay,15,2,2,5,75,40,3073,0,2,0,0,4,3,2024,2025
1038590,Mauro Rodas,17427,Club Sportivo Trinidense,Goalkeeper,26,Paraguay,0,3,1,4,98,0,0,0,0,0,0,0,0,2022,2024
1398558,Iván Ramírez,9875,Club Libertad Asunción,Centre-Forward,22,Paraguay,26,2,2,4,80,51,2660,9,8,57,21,10,0,2024,2025
391348,Miguel Jacquet,11855,Club Guaraní,Centre-Back,31,Paraguay,23,13,9,13,560,207,16731,7,3,16,7,65,0,2013,2025
1368936,Leandro Esteche,19124,Club Sportivo San Lorenzo,Right-Back,25,Paraguay,2,2,2,2,69,25,1837,0,0,9,3,4,0,2024,2025
897770,Alan Pereira,11855,Club Guaraní,Centre-Forward,26,Paraguay,0,7,6,5,270,124,4498,20,2,42,10,2,0,2016,2025
491595,Stevens Gómez,23170,Club Rubio Ñú (Asunción),Central Midfield,26,Paraguay,27,5,4,6,73,43,3161,4,0,0,0,6,9,2016,2025
139436,Rodrigo Alborno,23170,Club Rubio Ñú (Asunción),Left-Back,32,Paraguay,33,17,14,15,704,242,18602,13,4,19,5,35,4,2009,2025
551662,Tales,23170,Club Rubio Ñú (Asunción),Goalkeeper,29,Brazil,22,7,5,7,159,40,3498,0,0,0,0,2,0,2017,2025
1105905,Sebastián Ruíz Díaz,23170,Club Rubio Ñú (Asunción),Left Winger,22,Paraguay,23,4,3,4,129,59,1514,2,0,5,3,4,0,2022,2025
1447298,Gustavo Manzur,23170,Club Rubio Ñú (Asunción),Central Midfield,30,Paraguay,38,2,2,2,54,40,2470,0,0,8,3,12,0,2024,2025
452808,César Villagra,23170,Club Rubio Ñú (Asunción),Centre-Forward,37,Paraguay,18,11,5,8,399,220,12723,48,13,39,14,39,0,2014,2025
661225,Orlando Colmán,17484,Club Sportivo 2 de Mayo,Attacking Midfield,24,Paraguay,8,9,4,7,242,83,3785,7,2,45,16,13,6,2016,2025
970515,Elías Sarquis,23170,Club Rubio Ñú (Asunción),Centre-Forward,35,Paraguay,21,5,4,4,213,120,5770,15,12,45,16,17,0,2021,2025
1446741,Pablo Aveiro,19124,Club Sportivo San Lorenzo,Left-Back,21,Paraguay,18,2,2,2,49,16,732,0,0,0,0,0,0,2024,2025
291658,Luis Amarilla,1214,Club Cerro Porteño,Centre-Forward,30,Paraguay,0,13,10,27,462,234,14867,71,22,395,149,25,9,2012,2025
362872,Antonio Oviedo,19124,Club Sportivo San Lorenzo,Second Striker,29,Uruguay,28,9,6,9,224,106,5097,15,3,4,1,5,0,2014,2025
1035019,César Miño,629,Club Olimpia,Right Winger,19,Paraguay,0,5,2,8,225,80,3190,8,4,37,12,5,20,2021,2025
1380545,Alvaro Montiel,17484,Club Sportivo 2 de Mayo,Central Midfield,22,Paraguay,35,2,4,4,67,4,98,1,0,0,0,0,0,2024,2025
389558,Jorge Núñez,14545,Recoleta FC,Attacking Midfield,30,Paraguay,0,11,9,4,460,165,9653,6,16,6,1,21,0,2014,2025
870035,Matías Alfonso,19124,Club Sportivo San Lorenzo,Defensive Midfield,26,Paraguay,0,7,4,9,212,157,9525,2,6,0,0,37,0,2019,2025
970498,Elvio Vera,9875,Club Libertad Asunción,Left Winger,25,Paraguay,11,6,6,5,220,141,8980,39,17,201,63,18,0,2019,2025
66133,Pablo Zeballos,14545,Recoleta FC,Second Striker,40,Paraguay,0,16,17,27,684,366,22343,93,33,35,14,40,9,2007,2025
1515076,Francisco Pacher,14545,Recoleta FC,Attacking Midfield,24,Paraguay,0,1,1,2,29,4,73,0,0,0,0,1,0,2025,2025
440170,Elías Alderete,19124,Club Sportivo San Lorenzo,Centre-Forward,30,Argentina,34,13,10,15,345,182,10199,44,7,103,42,22,0,2014,2026
564969,Mathias Martínez,19124,Club Sportivo San Lorenzo,Left Winger,31,Paraguay,7,8,7,9,274,152,8303,15,13,41,16,22,0,2017,2025
1107736,Francisco Mongelos,7656,Sportivo Luqueño,Goalkeeper,21,Paraguay,12,3,1,4,59,8,666,0,0,0,0,0,0,2022,2025
1255337,Angel Espinola,7656,Sportivo Luqueño,Goalkeeper,23,Paraguay,40,3,1,3,98,9,746,0,0,0,0,0,0,2023,2025
160133,Alfredo Aguilar,7656,Sportivo Luqueño,Goalkeeper,38,Paraguay,0,19,6,17,712,354,31625,1,1,0,0,30,3,2007,2025
745925,Nicolás Campisi,7656,Sportivo Luqueño,Goalkeeper,29,Argentina,1,9,10,11,305,110,9833,0,1,0,0,6,0,2016,2025
980773,Alexis Cantero,7656,Sportivo Luqueño,Left-Back,23,Paraguay,23,5,5,11,230,142,10588,2,3,40,10,20,31,2021,2025
809082,Lucas Morales,7656,Sportivo Luqueño,Right-Back,26,Uruguay,4,7,7,12,264,171,13300,17,15,32,10,27,1,2019,2025
1037539,Paul Riveros,11855,Club Guaraní,Centre-Back,29,Paraguay,6,5,5,5,191,122,10659,11,1,13,3,22,0,2016,2025
1118350,Facundo Wiechniak,7656,Sportivo Luqueño,Centre-Back,23,Argentina,6,4,3,5,132,92,6922,0,0,8,1,11,0,2022,2025
878395,Miguel Barreto,7656,Sportivo Luqueño,Centre-Back,28,Paraguay,2,4,3,4,162,84,6512,3,3,24,5,15,0,2018,2025
603898,Santiago Ocampos,7656,Sportivo Luqueño,Right-Back,24,Paraguay,22,8,6,21,275,90,5849,0,3,24,5,11,10,2018,2025
1016847,Álvaro Martínez,7656,Sportivo Luqueño,Left-Back,24,Paraguay,34,3,3,4,64,38,2918,0,0,2,1,7,0,2021,2025
664547,Alexis Villalba,17484,Club Sportivo 2 de Mayo,Centre-Back,27,Paraguay,3,11,4,5,499,170,14071,7,5,65,17,41,0,2015,2025
1142296,Adrián Brizuela,7656,Sportivo Luqueño,Centre-Back,22,Paraguay,3,5,3,5,112,31,2246,2,0,8,3,5,3,2019,2025
1124293,Axel Balbuena,7656,Sportivo Luqueño,Left-Back,20,Paraguay,28,4,2,10,84,44,2983,2,0,5,1,10,18,2022,2025
1445597,Oliver López,7656,Sportivo Luqueño,Centre-Back,15,Paraguay,0,1,1,3,11,2,91,0,0,0,0,0,1,2025,2025
738247,Aldo Maíz,7656,Sportivo Luqueño,Central Midfield,25,Paraguay,8,9,7,10,362,191,11978,3,8,53,6,50,0,2017,2025
1413727,Jonathan Díaz,7656,Sportivo Luqueño,Centre-Back,20,Paraguay,5,2,1,2,17,8,600,0,0,2,1,3,0,2024,2025
1018447,Sebastián Quintana,629,Club Olimpia,Central Midfield,23,Paraguay,18,5,3,7,216,115,7129,10,5,115,29,21,16,2021,2025
984869,Tomás Muro,7656,Sportivo Luqueño,Central Midfield,24,Argentina,29,5,5,12,210,51,1927,2,2,28,8,8,0,2021,2025
