player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
893651,Randy Meneses,36020,Orense SC,Defender,22,Ecuador,23,5,4,9,96,18,759,0,0,0,0,0,7,2018,2025
1491824,Dayer Shimpiukat,17426,CD Macará,Midfield,18,Ecuador,28,1,1,1,1,0,0,0,0,0,0,0,0,2024,2024
1280275,Wagner Bardales,87068,Libertad FC,Right-Back,21,Ecuador,54,2,2,4,60,20,716,0,1,3,0,3,0,2023,2024
1074499,Isaac Sánchez,17584,CD Universidad Católica,Right Winger,19,Ecuador,14,4,3,13,112,59,2520,2,5,9,3,4,16,2022,2025
849258,Joaquín Pombo,19309,Independiente del Valle,Centre-Back,25,Argentina,0,7,5,16,216,80,6449,1,0,8,2,19,0,2019,2025
491621,Cesar Parra,25569,Guayaquil City FC,Defensive Midfield,26,Ecuador,50,4,4,3,125,18,849,0,1,0,0,2,8,2016,2023
1017549,Bruno Pachito,87068,Libertad FC,Attack,21,Ecuador,80,4,3,7,101,7,224,0,0,0,0,2,0,2021,2024
1267418,Maikel Caicedo,9855,LDU Quito,Centre-Back,21,Ecuador,2,3,3,12,119,12,731,0,0,1,0,3,6,2023,2025
680511,Jonnathan Mina,17584,CD Universidad Católica,Left-Back,31,Ecuador,0,8,8,8,283,157,11813,2,28,71,17,16,0,2018,2025
243656,Romario Caicedo,25569,Guayaquil City FC,Right-Back,36,Ecuador,33,15,4,16,680,457,36911,32,56,209,49,60,1,2010,2025
282612,Danny Cabezas,18099,Manta FC,Attacking Midfield,33,Ecuador,7,13,8,19,432,199,10441,14,20,92,35,20,2,2012,2025
1238901,Carlos Banguero,19304,Delfín SC,Centre-Back,17,Colombia,0,2,2,3,21,1,1,0,0,0,0,0,0,2023,2024
221037,Juan Cavallaro,19304,Delfín SC,Attacking Midfield,32,Argentina,19,15,11,23,538,276,12138,26,12,110,34,13,3,2011,2025
492315,José Neris,4561,CS Emelec,Centre-Forward,26,Uruguay,9,10,8,17,409,214,11460,41,14,32,14,19,7,2016,2025
988947,Stalin Morocho,8781,Deportivo Cuenca,Central Midfield,28,Ecuador,21,8,3,8,243,78,3991,5,3,44,19,8,0,2018,2025
1113772,Eduardo Bores,4561,CS Emelec,Goalkeeper,23,Ecuador,90,5,4,10,191,65,5621,0,0,0,0,7,0,2021,2025
1337038,Snayder Porozo,6362,SD Aucas,Centre-Forward,19,Ecuador,33,4,3,7,77,42,1706,7,2,36,13,5,0,2023,2026
212550,Rody Zambrano,87068,Libertad FC,Left-Back,33,Ecuador,29,14,10,10,545,164,10809,3,7,33,6,38,0,2010,2025
101031,Rafael Romo,17584,CD Universidad Católica,Goalkeeper,36,Venezuela,22,19,14,37,936,416,36757,0,0,0,0,39,41,2007,2025
1107048,Jefferson Valverde,4561,CS Emelec,Defensive Midfield,27,Ecuador,32,6,9,15,227,98,7159,0,2,60,14,13,0,2020,2025
1034569,Mateo Burdisso,6362,SD Aucas,Centre-Back,24,Argentina,4,5,5,12,222,67,5939,3,0,43,12,18,0,2021,2025
658056,Martín Cháves,19104,Técnico Universitario,Attacking Midfield,28,Uruguay,8,7,7,10,173,118,8103,17,22,42,14,27,0,2018,2025
348039,Ronie Carrillo,4561,CS Emelec,Centre-Forward,29,Ecuador,9,11,13,17,403,177,9923,49,14,212,83,18,0,2013,2025
1295763,Darwin Guagua,19309,Independiente del Valle,Central Midfield,18,Ecuador,55,4,3,11,102,49,2509,4,5,26,11,6,4,2023,2026
1050373,Allen Obando,3523,Barcelona SC Guayaquil,Centre-Forward,20,Ecuador,0,6,5,20,175,65,2723,15,5,48,21,6,26,2021,2026
653429,Jhon Sánchez,4561,CS Emelec,Right Winger,27,Ecuador,0,10,8,19,401,216,10461,16,20,161,56,21,4,2014,2025
556725,Diego Armas,19104,Técnico Universitario,Attacking Midfield,36,Ecuador,8,13,6,12,498,233,14255,50,26,319,108,29,0,2010,2025
801881,Sergio Núñez,3523,Barcelona SC Guayaquil,Centre-Forward,26,Uruguay,80,7,8,10,247,128,6752,20,7,15,3,12,0,2019,2025
400964,Washington Corozo,4561,CS Emelec,Left Winger,28,Ecuador,0,12,6,29,481,257,12454,38,33,233,93,30,21,2014,2025
1393780,Mathias Carabali,4561,CS Emelec,Right-Back,19,Ecuador,18,2,3,5,83,3,81,0,0,0,0,0,0,2024,2025
412883,Adrian Cela,19104,Técnico Universitario,Defensive Midfield,29,Ecuador,29,10,4,11,334,137,8788,4,9,30,13,21,0,2014,2025
312725,Carlos Cuero,19104,Técnico Universitario,Left-Back,30,Ecuador,19,13,5,12,461,272,21540,8,25,96,30,64,0,2011,2025
1270939,Juan José Ortíz,19304,Delfín SC,Goalkeeper,33,Ecuador,1,3,3,3,72,3,270,0,0,0,0,0,0,2023,2025
406629,Iván Molinas,19304,Delfín SC,Attacking Midfield,29,Argentina,8,12,5,8,327,139,6357,12,9,8,4,21,0,2014,2025
1161480,Richard Borja,3523,Barcelona SC Guayaquil,Centre-Forward,22,Ecuador,19,5,5,9,148,24,982,2,1,10,2,2,0,2021,2025
452806,Jhon Cifuente,87068,Libertad FC,Centre-Forward,34,Ecuador,16,12,9,17,466,298,18131,128,24,311,133,41,4,2014,2025
983022,Sergio Vásquez,36020,Orense SC,Defensive Midfield,22,Ecuador,7,5,3,8,135,93,6561,5,7,93,22,18,0,2021,2025
55167,Damián Díaz,3523,Barcelona SC Guayaquil,Attacking Midfield,40,Ecuador,10,20,8,25,787,547,39592,131,131,331,138,137,4,2006,2025
995145,Jostyn Mina,87068,Libertad FC,Goalkeeper,25,Ecuador,22,5,3,9,191,24,2090,0,0,0,0,4,0,2021,2025
567796,Guido Villar,19309,Independiente del Valle,Goalkeeper,28,Argentina,22,10,5,17,359,162,14431,0,0,0,0,8,0,2016,2025
914327,Layan Loor,19309,Independiente del Valle,Left-Back,25,Ecuador,19,7,3,12,277,168,12733,6,21,94,26,17,5,2019,2025
407168,Aldair Quintana,19309,Independiente del Valle,Goalkeeper,32,Colombia,1,12,9,15,612,314,28170,0,1,0,0,29,0,2014,2025
842520,Daykol Romero,19309,Independiente del Valle,Right-Back,25,Ecuador,13,7,4,12,271,131,8116,3,16,85,20,17,2,2019,2025
578757,Mateo Carabajal,19309,Independiente del Valle,Centre-Back,29,Argentina,14,10,3,18,384,278,22389,8,4,118,29,62,0,2016,2025
370174,Gustavo Cortez,19309,Independiente del Valle,Left-Back,28,Ecuador,15,12,4,17,510,286,22439,2,24,85,23,32,4,2014,2025
514380,Jhon Espinoza,19309,Independiente del Valle,Right-Back,27,Ecuador,4,11,8,25,441,238,14131,5,14,91,18,48,21,2015,2025
1066795,Andy Velasco,19309,Independiente del Valle,Centre-Back,27,Ecuador,33,6,4,11,245,94,7224,1,1,10,2,18,0,2020,2025
424289,Juan Viacava,19309,Independiente del Valle,Centre-Back,27,Uruguay,23,11,6,19,377,172,11240,5,7,10,0,24,0,2015,2025
491585,Luis Zárate,19309,Independiente del Valle,Centre-Back,26,Paraguay,2,8,2,15,315,120,8663,7,2,41,16,23,10,2016,2025
440015,Richard Schunke,19309,Independiente del Valle,Centre-Back,34,Argentina,5,15,3,14,486,359,30730,11,17,148,32,53,0,2011,2025
1185496,Aníbal Gómez,19309,Independiente del Valle,Centre-Back,20,Ecuador,20,4,4,11,91,8,542,0,0,0,0,1,0,2022,2025
981674,Patrik Mercado,19309,Independiente del Valle,Attacking Midfield,23,Ecuador,7,6,3,17,298,167,9154,16,17,132,40,32,24,2020,2025
643255,Hugo Quintana,19309,Independiente del Valle,Central Midfield,24,Paraguay,28,9,5,12,398,222,12803,34,24,105,46,12,1,2017,2025
189488,Júnior Sornoza,19309,Independiente del Valle,Attacking Midfield,32,Ecuador,10,16,7,33,919,605,41439,123,113,526,173,100,26,2010,2025
598145,Jordy Alcívar,19309,Independiente del Valle,Defensive Midfield,27,Ecuador,6,9,4,25,466,263,16078,14,15,278,77,37,30,2017,2025
330682,Jhegson Méndez,19309,Independiente del Valle,Defensive Midfield,29,Ecuador,32,13,6,25,680,323,20579,5,9,106,21,62,42,2013,2025
910005,Jean Arroyo,19309,Independiente del Valle,Attacking Midfield,22,Ecuador,21,6,3,12,215,80,4085,7,6,40,12,12,7,2020,2025
981675,Youri Ochoa,19309,Independiente del Valle,Defensive Midfield,21,Ecuador,8,5,3,12,147,66,3573,7,4,9,3,9,7,2021,2025
722748,Aron Rodríguez,19309,Independiente del Valle,Left Winger,27,Ecuador,17,8,3,9,270,222,12879,29,35,309,111,29,0,2018,2025
981673,Emerson Pata,19309,Independiente del Valle,Left Winger,22,Ecuador,31,5,4,15,174,108,5627,13,11,122,50,5,8,2021,2025
146367,Juan Cazares,19309,Independiente del Valle,Attacking Midfield,34,Ecuador,26,16,12,31,897,472,27184,62,63,458,139,20,29,2010,2025
