competition_id,n_players_with_match
MARP,619
MAR1,615
MEC1,472
CAFC,228
FS,218
ACL,188
MRR1,105
CHAN,81
CAFS,79
WMQ2,62
AFCQ,57
KLUB,57
FRC,40
AFCN,40
ARCP,31
20AC,27
FR2,26
AFOL,24
FR3,21
17AC,20
ELQ,20
LPL,19
CLQ,19
FIWC,19
CCB,17
FRL,16
EL,16
ECLQ,16
FR1,15
NLP,15
QEC1,15
TUN1,15
17WC,14
EGY1,14
20WC,13
POPO,13
NL2,13
EGYP,13
SAKC,13
TRP,13
BE2,13
C3IF,12
BE1,12
QSL,12
CN2D,12
TUNP,12
CN2C,12
CN2A,12
FRYC,11
PON2,11
NL1,11
SA2L,11
SA1,11
C3NO,11
TR1,11
LPL2,11
CDR,11
23AC,10
IRQ1,10
NLJB,10
PO2,10
EGLC,10
CN2B,10
TUNM,10
UAE1,10
UALC,10
PO1,9
QSCP,9
FRR1,9
PLIC,9
19YL,9
UCOL,9
UAEP,9
POCP,8
SEN1,8
NLBE,7
ESCU,7
TR2,7
C3HF,7
IRQC,7
C3VL,7
NLAJ,7
POBE,7
ALG1,6
U17Q,6
QU2L,6
SCC,6
CLI,6
C3GE,5
U19Q,5
AFCL,5
C3NA,5
QSLR,5
ALGP,5
OLYM,5
TDV,5
C1,5
AZ1,5
E3PL,5
FAC,5
CITP,5
ACL2,5
EJPL,5
EGCP,5
CL,5
IT1,5
CIT,5
C3BF,5
U21Q,5
ACLE,4
INSC,4
BULP,4
BU1,4
17EU,4
LUXP,4
AMCQ,4
LUX1,4
CHPR,4
C2,4
DFB,4
L2,4
ES2P,4
E3G2,4
ASPK,4
CGB,4
GB1,4
ES3D,4
ES2,4
NLVB,4
NLBJ,4
CS,4
AFCC,4
C3BR,4
NLBA,4
FARQ,4
IT2,4
F19D,4
GRP,4
ZYP1,4
ES1,4
IND1,3
POLL,3
EGRP,3
21PL,3
GB21,3
AA17,3
SLO1,3
SKC,3
LPL1,3
F19A,3
E4G3,3
TUSC,3
NLBV,3
181F,3
IJ1,3
SL1,3
BVC1,3
B1AP,3
BO1A,3
WMQ4,3
BO12,3
BO1C,3
CILP,3
BRA1,3
QUC1,3
PONL,3
C3PL,3
GR1,3
EBEL,3
ROMP,3
RO1,3
DKRE,3
IRN1,3
IRNP,3
DK1,3
NPFL,3
JO1L,3
BIHP,3
BOS1,3
WMQ6,3
EMQ,3
ES3B,3
ISPO,3
F19B,2
INDP,2
INDC,2
SCP,2
NLBB,2
PT23,2
P3As,2
PT3A,2
CLO,2
BEL3,2
TUPL,2
C3CM,2
SLMR,2
NLAE,2
GBFL,2
ES1P,2
212F,2
212S,2
LUCL,2
SLP,2
2SAM,2
COPA,2
B1P1,2
POWM,2
ITJP,2
CB20,2
BRC,2
SPjr,2
TRS,2
NLSC,2
USC,2
E3G1,2
T191,2
ITJF,2
ITJE,2
ITJ2,2
S1PO,2
EJPD,2
NLJV,2
DKAR,2
DKP,2
IRSC,2
IT3B,2
NEDC,2
TELK,2
SFA1,2
RO2,2
R2AO,2
NLBP,2
R2AP,2
RO1R,2
AUS1,2
FFAC,2
CPO1,2
ZYPM,2
LPL3,2
GB2,2
ACLQ,2
SASS,2
ESJP,2
C3OC,2
CYSC,2
19EU,2
BJ3,2
AJ3,2
L1,2
SL2,2
UKR1,2
DKRQ,2
DKPL,2
BE2E,2
F19F,2
ISRA,2
ISRF,2
ISR1,2
ALBP,2
ES3C,2
SC1,1
INKP,1
INR1,1
P3Au,1
CHFA,1
ALLP,1
TUNR,1
POCO,1
CNAT,1
ofb,1
SLAR,1
A1,1
AND1,1
ANDP,1
E4G1,1
SEC,1
E3PP,1
SE2,1
SE3N,1
211S,1
ITJ7,1
ITJ8,1
AC2Q,1
BRCM,1
MWP1,1
MOP2,1
MO1N,1
B1P2,1
SAM2,1
IT3C,1
BCPF,1
C20P,1
BCP1,1
SAM7,1
CLIY,1
T211,1
AFCP,1
FIC1,1
PUSB,1
TR3A,1
ITJ1,1
C3P1,1
RLN3,1
MOL1,1
MOSC,1
ROMS,1
IT3A,1
SCIJ,1
IT3P,1
GB3,1
NPPL,1
MAL2,1
MALC,1
510,1
BHSC,1
BRCG,1
RECO,1
BRCF,1
EURO,1
SUC,1
UNLA,1
UNFI,1
SFAL,1
POGR,1
UNGP,1
AUSF,1
UNG1,1
BESC,1
ARPO,1
ARSC,1
ARM1,1
RLSW,1
SU20,1
RLW3,1
ACQU,1
WAF1,1
WMQ1,1
AFAC,1
LI1,1
LTVP,1
LTSC,1
UNLD,1
POEM,1
RLB3,1
POPU,1
L3,1
LET1,1
GRS2,1
WFVP,1
PL2,1
SANP,1
RL2,1
BVFP,1
DFBJ,1
LETP,1
UNLC,1
DKMR,1
OLCF,1
GE1N,1
GEP1,1
GESC,1
211F,1
BE21,1
C3AR,1
IJ2B,1
BASU,1
ITJ6,1
POSB,1
C191,1
CHC1,1
181S,1
NLAP,1
KO1,1
BJ2,1
MAZ1,1
KOP1,1
CHUC,1
CHC2,1
IR1,1
CH18,1
KR2,1
F19C,1
UKRP,1
GOCU,1
CNLB,1
GCQU,1
CNLA,1
ZYPA,1
CNNF,1
ALB1,1
ALPO,1
TRIN,1
PTRL,1
ACFF,1
POSU,1
ES3P,1
ES3A,1
ALB2,1
AL21,1
ISR2,1
