player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1138810,Amiran Tkeshelashvili,253,Torpedo Kutaisi,Left-Back,19,Georgia,24,4,1,6,139,19,1041,0,0,0,0,5,14,2022,2025
1241217,Lekso Otinashvili,32017,FC Dila Gori,Centre-Forward,17,Georgia,18,3,2,5,72,6,225,0,1,0,0,0,1,2023,2025
1486984,Batu Makharadze,11344,Dinamo Batumi,Right-Back,21,Georgia,2,1,1,1,2,1,36,0,0,0,0,0,0,2024,2024
1543032,Goga Gogratchadze,11344,Dinamo Batumi,Left Winger,18,Georgia,15,0,0,0,0,0,0,0,0,0,0,0,0,,
1543031,Girogi Tskhomelidze,11344,Dinamo Batumi,Centre-Back,18,Georgia,24,0,0,0,0,0,0,0,0,0,0,0,0,,
1049530,Nika Chumburidze,1799,FC Rustavi,Left-Back,23,Georgia,5,5,3,4,151,91,6158,3,1,0,0,19,0,2021,2025
1363741,Dunga,32017,FC Dila Gori,Centre-Back,21,Brazil,4,2,2,4,39,6,469,0,0,0,0,1,0,2024,2025
1267824,Luka Rekhviashvili,253,Torpedo Kutaisi,Centre-Forward,19,Georgia,30,2,1,4,48,2,91,0,0,0,0,0,0,2023,2024
669305,Viktor Bliznichenko,22842,FC Gagra,Left Winger,23,Ukraine,0,9,7,11,145,72,3556,4,6,1,1,9,10,2017,2026
412614,Levan Kharabadze,663,Dinamo Tbilisi,Left-Back,26,Georgia,31,13,6,19,404,210,15639,16,24,5,1,18,26,2014,2026
1464422,Saba Ismailovi,11344,Dinamo Batumi,Goalkeeper,20,Georgia,31,2,1,2,27,4,253,0,0,0,0,1,0,2024,2025
1270891,Nikoloz Baladze,11344,Dinamo Batumi,Right-Back,20,Georgia,36,3,1,5,103,17,654,0,0,0,0,4,0,2023,2025
1525208,Zura Tedoradze,11344,Dinamo Batumi,Centre-Back,19,Georgia,25,1,1,1,17,2,41,0,0,0,0,0,0,2025,2025
1435151,Dachi Abuselidze,11344,Dinamo Batumi,Left Winger,21,Georgia,27,2,1,2,42,32,1028,0,1,0,0,1,0,2024,2025
1310205,Nika Dumbadze,11344,Dinamo Batumi,Right Winger,20,Georgia,26,3,1,5,84,31,1046,1,1,0,0,1,0,2023,2025
688309,Wellissol,29675,FC Samgurali Tskaltubo,Centre-Forward,28,Brazil,11,8,10,13,271,158,7046,18,3,25,5,26,0,2018,2025
565340,Giorgi Kharebashvili,22842,FC Gagra,Left Winger,29,Georgia,0,10,7,7,334,231,18000,88,36,0,0,28,1,2013,2025
923513,Dmytro Dobranskyi,1799,FC Rustavi,Centre-Back,23,Ukraine,20,5,4,8,172,77,5214,4,2,0,0,8,0,2021,2025
