player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
724150,Sekhoane Moerane,45783,Orbit College FC,Goalkeeper,28,Lesotho,16,8,1,7,83,57,5048,1,0,1,0,3,40,2019,2026
391573,Tshepo Mamabolo,45783,Orbit College FC,Goalkeeper,32,South Africa,34,7,5,4,48,2,208,0,0,0,0,0,0,2015,2025
357561,Cyril Chibwe,45783,Orbit College FC,Goalkeeper,32,Zambia,32,11,8,10,230,37,3180,0,1,0,0,1,9,2014,2025
887629,Gilberto,2557,Orlando Pirates,Right Winger,25,Angola,0,5,2,10,99,60,3140,3,2,53,11,5,22,2021,2025
699346,Katlego Mkhabela,45783,Orbit College FC,Right-Back,30,South Africa,21,7,3,5,147,55,4016,0,0,8,0,8,0,2019,2025
437731,Sabelo Nkomo,45783,Orbit College FC,Goalkeeper,0,South Africa,1,8,5,4,52,18,1651,0,0,0,0,1,0,2015,2025
566501,Olaoleng Mokgosi,45783,Orbit College FC,Centre-Back,0,South Africa,4,4,1,4,32,19,1711,0,0,1,0,3,0,2017,2025
1392334,Yanga Madiba,61852,Marumo Gallants FC,Left-Back,24,South Africa,0,4,3,5,90,20,1317,0,1,7,2,4,0,2023,2026
1210868,Thabang Nhlapo,45783,Orbit College FC,Centre-Back,0,South Africa,23,3,1,4,38,30,2729,0,0,4,1,6,0,2023,2025
1210866,Thulani Jingana,45783,Orbit College FC,Left-Back,23,Eswatini,29,4,1,5,40,27,2386,0,1,4,0,5,2,2023,2026
208076,Brian Onyango,45783,Orbit College FC,Centre-Back,31,Kenya,48,15,5,14,518,199,14759,12,1,17,6,30,40,2011,2025
739939,Mohammed Abubakar,45783,Orbit College FC,Left-Back,25,Ghana,0,7,3,5,185,75,5652,1,3,0,0,7,0,2019,2025
1210864,Kobamelo Setlhodi,45783,Orbit College FC,Right-Back,0,South Africa,26,3,1,4,38,11,778,0,2,0,0,2,0,2023,2025
1115483,Ndumiso Ngiba,45783,Orbit College FC,Centre-Back,0,South Africa,30,4,2,4,39,17,800,0,0,0,0,4,0,2022,2025
1211153,Halalisani Vilakazi,12668,Richards Bay FC,Right-Back,27,South Africa,0,3,3,5,42,31,2363,0,0,7,2,3,0,2023,2025
110303,Ramahlwe Mphahlele,45783,Orbit College FC,Centre-Back,36,South Africa,41,20,6,12,803,438,36476,11,21,35,9,48,25,2006,2025
1352388,Tshwanelo Pitso,45783,Orbit College FC,Right-Back,0,South Africa,0,3,2,4,22,2,48,0,0,0,0,0,0,2023,2025
968146,Thuso Moleleki,2557,Orlando Pirates,Attacking Midfield,26,South Africa,0,5,3,5,94,22,1168,3,3,10,3,4,0,2021,2026
547832,Lesedi Kapinga,45783,Orbit College FC,Attacking Midfield,30,South Africa,70,9,6,5,307,121,5597,13,17,38,16,0,0,2017,2025
334120,Ben Motshwari,9370,AmaZulu FC,Central Midfield,34,South Africa,0,12,4,7,472,287,22026,12,9,63,13,50,2,2014,2025
529921,Given Thibedi,45783,Orbit College FC,Central Midfield,28,South Africa,15,8,4,6,132,50,3235,0,1,17,3,3,0,2018,2025
983908,Thato Mohlamme,61852,Marumo Gallants FC,Attacking Midfield,27,South Africa,43,6,4,4,110,23,1048,2,0,26,7,0,0,2021,2026
1210867,Realeboga Potsana,45783,Orbit College FC,Defensive Midfield,0,South Africa,8,4,2,4,39,21,1653,0,0,3,0,8,0,2021,2025
1042133,Papama Tyongwana,45783,Orbit College FC,Attacking Midfield,24,South Africa,42,4,2,3,99,17,651,0,0,0,0,4,0,2022,2025
495270,Atisang Batsi,45783,Orbit College FC,Central Midfield,43,South Africa,12,7,3,6,49,33,2354,1,0,11,3,4,0,2016,2025
1352386,Axolile Noyo,45783,Orbit College FC,Central Midfield,0,South Africa,6,4,2,4,39,3,270,0,0,0,0,2,0,2020,2025
1068537,Abdoulaye Mariko,31283,Chippa United,Defensive Midfield,23,Mali,0,4,5,5,54,20,1137,1,0,2,0,1,0,2022,2025
426157,Tshepo Matsemela,45783,Orbit College FC,Attacking Midfield,30,South Africa,20,10,7,6,128,35,1413,1,0,11,1,1,0,2014,2025
1477774,Monwabisi Mngqibisa,45783,Orbit College FC,Central Midfield,0,South Africa,38,2,1,4,37,3,204,0,0,1,0,0,0,2024,2025
1450245,Oarabile Moeti,45783,Orbit College FC,Midfield,0,South Africa,39,1,1,3,32,1,1,0,0,0,0,0,0,2025,2025
1450003,Ikaneng Ramosala,45783,Orbit College FC,Attacking Midfield,0,South Africa,45,3,1,3,34,3,179,0,0,4,0,0,0,2023,2025
231562,Pogiso Mahlangu,45783,Orbit College FC,Attacking Midfield,33,South Africa,43,13,5,5,213,71,3245,6,1,27,5,13,0,2012,2025
1376075,Thapelo Mokwena,45783,Orbit College FC,Defensive Midfield,0,South Africa,0,2,2,3,18,3,204,0,0,0,0,1,0,2024,2025
636980,Cameron Chweu,45783,Orbit College FC,Central Midfield,0,South Africa,0,2,3,3,17,4,112,0,0,4,3,0,0,2018,2025
1352385,Tlhalefang Manyedi,45783,Orbit College FC,Central Midfield,0,South Africa,3,2,1,4,37,0,0,0,0,0,0,0,0,2024,2025
1210869,Siyabulela Mabele,2557,Orlando Pirates,Right Winger,0,South Africa,0,4,2,5,45,31,2284,1,2,38,11,2,0,2023,2026
1210861,Doctor Motswakhumo,45783,Orbit College FC,Central Midfield,0,South Africa,24,3,1,4,24,1,90,0,0,0,0,0,0,2023,2025
566502,Monnapule Saleng,6356,Mamelodi Sundowns FC,Left Winger,28,South Africa,14,9,5,9,248,128,9043,29,23,166,71,1,5,2017,2026
1238140,Karabo Mgeshane,45783,Orbit College FC,Central Midfield,0,South Africa,37,3,2,4,38,5,454,0,0,0,0,3,0,2023,2025
478503,Ayanda Lukhele,45783,Orbit College FC,Centre-Forward,0,South Africa,27,4,2,4,39,25,1039,2,0,18,5,4,0,2016,2025
1210863,Lethabo Modimoeng,45783,Orbit College FC,Centre-Forward,0,South Africa,9,3,1,4,38,24,1215,2,1,16,4,3,0,2023,2025
602981,Mbulelo Wagaba,45783,Orbit College FC,Left Winger,29,South Africa,14,8,5,4,134,43,2372,6,4,33,12,3,0,2018,2025
160558,Letsie Koapeng,14187,Durban City Football Club,Centre-Forward,34,South Africa,19,16,12,7,402,162,7036,21,5,90,31,8,3,2010,2026
1210862,Gomolemo Khoto,85501,Sekhukhune United FC,Left Winger,0,South Africa,0,4,2,5,45,26,1338,3,1,22,6,1,0,2023,2026
529926,Lebohang Lesako,45783,Orbit College FC,Right Winger,26,Lesotho,22,7,5,8,124,29,1211,0,2,33,7,3,2,2020,2026
1376086,Lucky Mahlatsi,21202,Polokwane City FC,Centre-Forward,0,South Africa,0,3,3,4,38,14,775,1,0,19,6,1,0,2024,2026
1239749,Thabang Mahlangu,85501,Sekhukhune United FC,Centre-Forward,21,South Africa,0,4,4,7,98,31,730,3,0,26,9,0,11,2023,2026
663339,Kgotso Masangane,45783,Orbit College FC,Right Winger,27,South Africa,0,8,4,8,234,206,16409,15,20,1,0,18,0,2018,2025
643640,Mpho Khabane,45783,Orbit College FC,Centre-Forward,24,South Africa,0,7,3,3,33,16,439,1,0,2,0,1,0,2018,2024
146329,Bradley Ralani,45783,Orbit College FC,Left Winger,38,South Africa,10,18,10,14,521,356,24610,50,58,68,25,15,0,2008,2025
844623,Katlego Cwinyane,45783,Orbit College FC,Centre-Forward,26,South Africa,0,6,4,7,87,5,203,1,0,0,0,0,0,2020,2025
1352389,Muhluri Ubisi,45783,Orbit College FC,Centre-Forward,0,South Africa,0,3,2,4,22,3,93,0,0,0,0,1,0,2023,2025
487675,Thabang Maponya,45783,Orbit College FC,Right Winger,30,South Africa,35,8,6,6,125,10,500,0,0,1,1,3,0,2016,2025
437713,Simphiwe Ndlovu,45783,Orbit College FC,Centre-Forward,32,South Africa,0,6,4,4,28,8,379,1,0,0,0,0,0,2015,2025
862052,Alphonia Lekeno,45783,Orbit College FC,Right Winger,23,South Africa,0,4,3,2,9,2,46,0,0,0,0,0,0,2020,2024
1136645,Lemohang Maseko,45783,Orbit College FC,Right Winger,22,South Africa,0,4,3,4,40,2,133,0,0,0,0,0,0,2022,2025
1238138,Reotshepile Letlhake,45783,Orbit College FC,Left Winger,0,South Africa,33,3,2,2,4,2,70,0,0,0,0,0,0,2023,2025
1073561,Ephraim Mothibedi,54146,Magesi FC,Goalkeeper,26,South Africa,0,4,4,3,33,2,18,0,0,0,0,0,0,2022,2025
1509333,Tshepo Taola,54146,Magesi FC,Goalkeeper,0,South Africa,16,1,1,3,21,1,120,0,0,0,0,0,0,2025,2025
429972,Elvis Chipezeze,54146,Magesi FC,Goalkeeper,36,Zimbabwe,1,10,2,9,261,160,14281,0,0,0,0,16,12,2013,2025
742648,Mbali Tshabalala,54146,Magesi FC,Goalkeeper,31,South Africa,24,5,3,4,74,5,450,0,0,0,0,0,0,2019,2025
1096375,Kayden Rademeyer,54146,Magesi FC,Left-Back,26,South Africa,18,4,2,4,72,22,1302,0,0,10,0,4,0,2022,2025
1210334,Tshepo Mashigo,54146,Magesi FC,Right-Back,23,South Africa,2,3,1,4,71,37,2983,3,1,10,5,3,0,2023,2025
1097623,John Mokone,14187,Durban City Football Club,Left-Back,27,South Africa,0,5,2,5,78,66,5589,3,4,23,6,9,0,2022,2026
967830,Delano Abrahams,54146,Magesi FC,Right-Back,34,South Africa,25,5,3,4,80,48,4171,10,0,41,15,7,0,2021,2025
1367103,Siyabonga Ndlozi,85501,Sekhukhune United FC,Right-Back,23,South Africa,0,4,4,6,105,28,1715,0,0,10,1,6,0,2023,2026
495499,Mzwandile Buthelezi,54146,Magesi FC,Centre-Back,34,South Africa,3,11,5,5,186,58,4446,0,2,13,2,5,0,2014,2025
1097622,Dimakatso Komape,54146,Magesi FC,Right-Back,31,South Africa,0,3,1,3,28,6,450,0,0,0,0,1,0,2022,2024
547831,Tshepo Makgoga,54146,Magesi FC,Centre-Back,35,South Africa,4,9,4,5,95,49,4110,0,0,12,3,10,0,2017,2025
1096391,Lehlogonolo Mokone,54146,Magesi FC,Centre-Back,31,South Africa,34,4,1,4,73,55,4640,4,2,22,7,5,0,2022,2025
1149830,Vincent Mashego,54146,Magesi FC,Centre-Back,25,South Africa,45,3,3,6,56,3,131,0,0,0,0,0,0,2023,2025
637863,Tshegofatso Nyama,54146,Magesi FC,Left-Back,26,South Africa,11,8,3,6,193,121,8257,3,5,48,12,22,0,2018,2025
1334727,Sphelele Majola,54146,Magesi FC,Centre-Back,0,South Africa,80,2,2,4,38,5,226,0,0,2,1,1,0,2024,2025
1321318,Glen Malesa,54146,Magesi FC,Centre-Back,24,South Africa,20,3,1,4,71,0,0,0,0,0,0,0,0,2023,2025
1106578,Tshepo Modise,54146,Magesi FC,Left-Back,21,South Africa,27,3,2,4,32,1,120,0,0,0,0,0,0,2022,2025
457017,Samuel Darpoh,54146,Magesi FC,Defensive Midfield,28,Ghana,6,10,3,4,208,110,7864,2,3,20,5,34,0,2016,2025
1318654,Diteboho Mofokeng,54146,Magesi FC,Centre-Back,0,South Africa,49,1,1,4,37,19,1558,1,0,4,1,0,0,2025,2025
872395,Kgomotso Mosadi,54146,Magesi FC,Attacking Midfield,27,South Africa,40,6,5,6,93,55,3192,9,1,71,16,4,0,2020,2025
967832,Tshepo Kakora,67074,TS Galaxy FC,Attacking Midfield,28,South Africa,24,5,4,3,75,47,2943,3,3,44,11,13,0,2021,2026
