competition_id,n_players_with_match
E3G2,1027
CDR,836
ES2,463
ES2P,414
E3G1,382
E3PL,322
ES1,300
FS,268
E3PP,256
E4G4,242
19YL,235
CEF1,229
E4G3,214
E4G5,175
ES3C,173
ES3D,152
ES3A,148
ES3B,115
ES1P,108
CL,98
E4G1,91
E3FD,87
U19Q,86
EL,83
PLIC,80
U17Q,78
E4G2,77
E3FA,76
E3FI,73
ES3P,70
ES3E,52
SUC,47
ECLQ,45
AA17,41
U21Q,40
17EU,39
ELQ,38
19EU,36
POPO,36
PO1,30
17WC,29
KLUB,26
CLQ,26
PO2,21
GR1,21
GRP,21
UCOL,20
20WC,19
POPU,18
NLP,17
PL1,17
NL2,15
NL1,14
POCP,14
FRC,12
CPO1,12
FAC,11
CCB,11
PL2,11
CITP,10
FR1,10
PT23,10
CGB,10
MLSP,10
IT1,10
ZYP1,10
CS,9
PON2,9
WMQ6,9
BE1,9
CIT,9
AFCN,9
21EU,8
FRYC,8
FR2,8
IT2,8
CLI,8
POGR,8
BU1,8
WMQ2,8
CCL,8
SCC,8
ROMP,7
GB21,7
SPjr,7
S1PO,7
SER1,7
GRS2,7
AFCQ,7
2SAM,7
USMX,7
MLS1,7
RO1,6
CB20,6
TDV,6
BCP1,6
ARCA,6
UNLA,6
DFB,6
SERP,6
GB2,6
SEC,6
FIC1,6
GB1,6
MEXA,6
C1,6
BRC,6
ZYPM,6
IJ1,5
FR5H,5
F19D,5
FR3,5
POSU,5
20AC,5
AR1N,5
NLJB,5
SE1,5
DKP,5
EMQ,5
GBFL,5
BULP,5
ofb,5
UKRP,5
ARGC,5
ARG1,5
TR1,5
USC,5
KR1,5
MNP3,5
RO1C,4
F19B,4
FR5A,4
C20P,4
DK1,4
SAKC,4
SA1,4
COPO,4
SB19,4
SAM7,4
DFBJ,4
NLAJ,4
M20A,4
S2PA,4
C2,4
A1,4
CLPI,4
UKR1,4
GI1,4
PL33,4
BE2,4
POMX,4
L1,4
ISR1,4
ISPO,4
TRP,4
RLW3,4
FR4B,4
KRC,4
BRA2,4
BRA1,4
SE2,4
SU20,3
FRR1,3
BCPF,3
ARG2,3
L2,3
PONL,3
UNLB,3
COL1,3
COLP,3
OLYM,3
CDN1,3
CNLB,3
WMQ3,3
GRPL,3
NLJV,3
S2PO,3
M20C,3
M23A,3
ACLQ,3
ITJ2,3
POBE,3
BESC,3
FIWC,3
MARP,3
ACL,3
PTRL,3
PL2L,3
BRA4,3
PT3A,3
ITC4,3
AND1,3
URUC,3
URUI,3
URU1,3
PL31,3
TSP,3
NLBE,3
ZYPA,3
C220,3
FAYC,3
21PL,3
WMQ4,3
COPA,3
POME,3
MEX1,3
POSB,3
FRL,3
FR4A,3
SER2,3
ISR2,3
UNLC,3
ALBP,3
POUS,3
UNG1,3
UNGP,3
MNEC,3
MNE1,3
TS1,3
ALB1,3
17AC,3
DK2,3
P23Q,3
GR2,3
RESU,3
FR5K,2
NLC,2
CLIY,2
ARY3,2
ARLC,2
SCAG,2
POEM,2
GB3,2
SASS,2
QU2L,2
OLCC,2
CAN,2
AJ,2
19S2,2
181S,2
M23L,2
MEX2,2
M23C,2
PN1A,2
INSC,2
P23C,2
ITJF,2
SCIJ,2
ITJE,2
GHPL,2
MAR1,2
IT3A,2
RO2,2
ATRM,2
CLPF,2
GIRC,2
GISC,2
CAPL,2
CO2T,2
SR1C,2
FFAC,2
IJ2B,2
NLBA,2
JUSÖ,2
P3As,2
URP1,2
A2,2
BE2E,2
C20Q,2
GB18,2
MARG,2
CDLP,2
BAPO,2
CHAN,2
FIS,2
ISRA,2
M2L1,2
MXSC,2
DKRE,2
TR2,2
AJ2,2
BJ2,2
CILP,2
BE2A,2
SLP,2
SL1,2
F19A,2
FR5G,2
FR5D,2
FR4D,2
GE1N,2
NLBJ,2
NLVB,2
LTU2,2
FRCH,2
23AC,2
SAM2,2
URU2,2
NPFL,2
PTPR,2
P232,2
PDV1,2
CCAC,2
CRPD,2
PDV2,2
CRPO,2
CRPV,2
AC2Q,2
NLBV,2
INDC,2
GEP1,2
RO1R,2
BRPR,2
DKAR,2
DK2P,2
FR5F,2
MNPP,2
ANDP,2
ANSC,2
BOS1,2
POAR,2
SE3N,2
RESE,2
S21N,2
SE3S,2
DK2R,2
DKDD,2
KR2,2
CYP2,2
IT4H,2
GR20,2
RO19,1
ROCJ,1
RO3F,1
FRR2,1
PUSB,1
NLBP,1
212S,1
211S,1
DKDL,1
SR1R,1
GOCU,1
PL32,1
19D4,1
19LA,1
AJ3,1
17P2,1
17P1,1
BJ3,1
19S1,1
BK19,1
MXBC,1
MEXB,1
IRN1,1
PN1C,1
COLE,1
PNF1,1
UNFI,1
EJPL,1
EURO,1
ITJ3,1
ITJ5,1
AFOL,1
MEC1,1
CAFS,1
L2PO,1
CSL,1
A920,1
23AF,1
CHFA,1
A23Q,1
BCP2,1
RUJL,1
R2AO,1
CPP2,1
CPP1,1
BU2,1
UA2P,1
GRD,1
C2P2,1
AFCP,1
IRQC,1
IRQ1,1
SB17,1
POWM,1
TS2,1
FLAP,1
A2VI,1
NO1,1
S21S,1
NLSC,1
NLAE,1
NO2,1
NOPO,1
NLEV,1
RLN3,1
RTIP,1
UKR2,1
UA19,1
UA3L,1
EJPD,1
POCC,1
18GB,1
E21P,1
CBII,1
CDCA,1
ARCP,1
FI2,1
RU1,1
BASU,1
RUP,1
IJSC,1
FIYO,1
M2L2,1
IT3B,1
BTCU,1
ITJ7,1
ITJ8,1
UNPO,1
IJ2A,1
ITJP,1
FR5C,1
FR5E,1
IRLP,1
FR5I,1
FR5L,1
IN1L,1
GBR,1
POT1,1
BRPE,1
DFL,1
RL3,1
MO1N,1
MOP2,1
LI1,1
MWP1,1
LTVP,1
A1P1,1
A1P2,1
GBCS,1
ESJP,1
ALPO,1
URSC,1
URUP,1
NPPL,1
CAFC,1
COLF,1
COLO,1
COSP,1
ISRF,1
