competition_id,n_players_with_match
CH1C,489
CLPD,483
CLLC,474
CS,344
CLI,330
FS,198
CSUC,197
CL2B,168
CHL1,101
CL2P,93
CHLA,93
ARCA,93
CHIÜ,89
2SAM,77
AR1N,77
WMQ4,64
CDLP,58
CHDP,54
CLIY,51
ARG1,51
ARG2,49
SAM7,44
CHL2,44
LCLC,43
ARGC,43
CHLP,42
COPA,42
CH2C,38
MEX1,36
17WC,36
MEXA,36
20WC,35
SAM2,34
ARY3,33
CDCA,32
CLPI,31
OLCF,27
ARLC,27
CHPL,27
URU1,26
URUC,24
URUI,24
MXCC,20
POME,20
MXCA,20
BRC,19
USMX,18
A2TP,18
FIWC,17
BRA1,17
POMX,17
CLPF,17
AR2T,17
CONC,16
PR1A,16
PR1C,16
CCL,16
M20C,16
URP1,16
CHDE,15
CIT,15
CDR,15
CA16,14
SCAG,14
IT1,14
URUP,14
CDCO,13
EL,13
MLS1,12
CPP2,12
URU2,12
CHI3,11
ECUP,11
RECO,11
CL,11
ES1,11
CPMX,11
M20A,11
CPP1,11
COL1,11
COPO,11
ELQ,11
EL1S,10
TDCS,10
URSC,10
A1P1,10
CHAF,9
EL1A,9
CLQ,9
COLO,9
COLP,9
ES2,9
BRA2,9
URU3,9
A1P2,8
MARG,8
POUS,7
SA15,7
COLF,7
IT2,7
POPO,7
TDeC,7
MLSP,6
MXSC,6
CITP,6
URUE,6
BRCG,6
TDeA,6
KLUB,5
UAE1,5
SURU,5
CAN,5
EC1N,5
BRCM,5
ARG3,5
AR3P,5
TDV,5
RUP,5
RU1,5
BRCF,5
POAR,5
GRP,5
TRP,5
TR1,5
MNP3,4
VZ1A,4
VZ1C,4
VEC1,4
BRRS,4
L1,4
RS2f,4
DFB,4
ALPL,4
BRNE,4
GB1,4
CGB,4
USL,4
BO1A,4
BCP1,4
PR1P,4
SCIN,4
GR1,4
USSP,4
POCP,4
PO1,4
WMQ3,4
GOCU,4
C1,3
SCC,3
BRNF,3
ECP1,3
FAC,3
SCBR,3
USLP,3
BRC2,3
NL1,3
NLP,3
KR1,3
ECSC,3
LPPL,3
SPjr,3
CB20,3
PO2,3
ES2P,3
S1PO,3
CILP,3
IT3A,3
RO1,3
IT3P,3
MEXB,3
ECSE,3
CNNF,3
UR2T,3
VZOA,3
VZ1P,2
UALC,2
UAEP,2
RCBR,2
BCE1,2
MYS1,2
SCI,2
BRga,2
ITJ1,2
BVC1,2
ITJE,2
AJSC,2
NOPO,2
NO1,2
BCPF,2
UCOL,2
KRC,2
PLIC,2
NL2,2
M23A,2
POPU,2
PL1,2
ES3D,2
C1P2,2
CO2T,2
ZYP1,2
CPO1,2
E3G1,2
GBCS,2
ITJ2,2
SA2L,2
SA1,2
SAKC,2
SC14,2
ROMP,2
BO12,2
UR2S,2
AUS1,2
MEX2,2
SLO1,2
ITJ3,2
SKC,2
MXBA,2
ECPE,2
C20P,2
QSL,2
RU2,2
BRPA,2
BRVE,2
BRCR,2
CNLA,2
PN1A,2
PDV1,2
CRPD,2
VZOC,2
POSB,2
EC2L,2
VZ1L,1
FIC1,1
ACLE,1
P2AR,1
L1PO,1
BRCE,1
AFCC,1
CAMC,1
19YL,1
AR3A,1
PONL,1
ACQU,1
RUSS,1
UEFA,1
DFL,1
SUC,1
NLSC,1
PL32,1
USC,1
RUSR,1
BRPE,1
BRCB,1
AR3D,1
AR3C,1
AR3B,1
ZYPM,1
CYSC,1
GB2,1
ESJP,1
CCB,1
PON2,1
A1,1
NLBE,1
BE1,1
510,1
ofb,1
POBE,1
GR2N,1
IT3B,1
IT3O,1
MNPP,1
M2L1,1
M2L2,1
ES3C,1
ES3B,1
FFAC,1
PERC,1
ES3A,1
PEDP,1
MLCC,1
MYSP,1
ACL2,1
SAUP,1
ACLQ,1
MYC1,1
PERE,1
AUSF,1
LTVP,1
LI1,1
S2PO,1
GRS2,1
ALB1,1
ALBP,1
COBI,1
PERF,1
M20H,1
FIYO,1
AFCL,1
QEC1,1
UNG1,1
SE1,1
SEC,1
ZYPA,1
ECLQ,1
UNGP,1
GB21,1
KR2,1
PTRL,1
M23C,1
IJ1,1
SLMR,1
IJ2B,1
IT3C,1
OLYM,1
OLCC,1
C220,1
CENC,1
CACP,1
IRN1,1
IRNP,1
PTDI,1
BRPR,1
URPL,1
CBII,1
ALPS,1
E4G1,1
IT4H,1
RKPO,1
UKRA,1
RSK2,1
UARP,1
C2,1
CHC1,1
UKRP,1
UKR1,1
CRPV,1
PN1C,1
PDV2,1
PNF1,1
PN1F,1
CRPO,1
GUPC,1
GU1C,1
ECP2,1
URE2,1
RUJL,1
BRA3,1
J1PO,1
PUSB,1
JAP2,1
JEMP,1
