player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1183281,Abdulmalik Al-Harbi,91427,Al-Kholood Club,Centre-Forward,20,Saudi Arabia,47,2,1,5,78,4,246,0,0,0,0,0,4,2023,2024
364467,Khaled Al-Muqaitib,32328,Al-Najma SC,Goalkeeper,33,Saudi Arabia,22,9,4,4,193,8,635,0,0,0,0,1,0,2015,2025
255744,Samir Caetano,32328,Al-Najma SC,Centre-Back,31,Brazil,3,15,8,25,636,378,30296,16,8,106,31,72,0,2012,2026
939942,Walid Al-Enezi,27221,Al-Fateh SC,Goalkeeper,30,Saudi Arabia,94,10,4,5,273,37,3080,0,0,0,0,5,0,2017,2026
380478,Victor Braga,32328,Al-Najma SC,Goalkeeper,34,Brazil,1,17,14,15,440,211,18920,0,0,0,0,15,0,2009,2026
886841,Mohammed Al-Kunaydiri,32328,Al-Najma SC,Left-Back,25,Saudi Arabia,12,8,6,6,217,127,7320,2,8,12,6,9,1,2019,2026
235412,Jawad El Yamiq,32328,Al-Najma SC,Centre-Back,34,Morocco,0,16,9,22,689,333,25894,25,6,179,50,45,41,2011,2026
1168993,Fahad Al-Abdulrazzaq,32328,Al-Najma SC,Right-Back,26,Saudi Arabia,19,5,3,5,161,78,4712,1,4,7,1,11,0,2022,2026
1170032,Khaled Al-Shammari,32328,Al-Najma SC,Centre-Back,26,Saudi Arabia,6,8,4,3,206,109,6339,4,1,5,1,22,0,2019,2026
922497,Abdullah Al-Hawsawi,32328,Al-Najma SC,Right-Back,30,Saudi Arabia,24,11,8,7,300,138,9568,1,5,24,5,24,0,2016,2026
1112448,Vitor Vargas,32328,Al-Najma SC,Left-Back,22,Brazil,2,5,5,8,77,25,1889,0,0,9,3,1,0,2022,2026
1172146,Khalid Al-Subaie,9131,Al-Hazem SC,Left-Back,26,Saudi Arabia,0,8,6,3,204,111,7435,7,9,28,4,12,0,2019,2026
1169025,Nawaf Al-Hawsawi,31008,Al-Riyadh SC,Left-Back,25,Saudi Arabia,0,7,6,3,163,71,4503,3,2,4,0,13,0,2019,2026
193150,Mohammed Al-Fatil,32328,Al-Najma SC,Centre-Back,34,Saudi Arabia,33,17,3,18,729,245,17897,14,6,50,16,23,17,2010,2026
1180570,Nasser Al-Haleel,32328,Al-Najma SC,Centre-Back,26,Saudi Arabia,4,7,6,3,197,99,6856,2,3,9,3,28,0,2020,2026
258034,Guga,32328,Al-Najma SC,Central Midfield,28,Portugal,16,16,9,23,493,338,23326,31,33,220,66,33,52,2011,2026
1235479,Sultan Al-Essa,31008,Al-Riyadh SC,Right-Back,21,Saudi Arabia,2,4,3,8,104,33,1990,0,0,3,1,2,13,2023,2026
351792,David Tijanic,32328,Al-Najma SC,Attacking Midfield,28,Slovenia,43,15,7,21,469,345,24387,57,40,243,93,12,18,2012,2026
354775,Deybi Flores,32328,Al-Najma SC,Defensive Midfield,29,Honduras,0,14,8,32,691,408,30575,14,13,107,21,81,79,2012,2025
479683,Nabil Dunga,32328,Al-Najma SC,Defensive Midfield,30,Egypt,80,11,3,17,529,322,25159,11,10,215,43,71,12,2016,2026
921112,Abdulelah Al-Shammari,32328,Al-Najma SC,Attacking Midfield,27,Saudi Arabia,8,9,6,4,222,158,10098,13,12,20,7,30,4,2017,2026
946971,Marin Prekodravac,32328,Al-Najma SC,Defensive Midfield,21,Croatia,44,6,4,10,169,72,4407,11,2,23,7,12,12,2021,2026
1234622,Majed Dawran,40039,Abha Club,Central Midfield,23,Saudi Arabia,29,4,3,4,106,43,1098,1,1,8,5,0,3,2023,2026
1003583,Rakan Al-Tulayhi,28844,Al-Taawoun FC,Attacking Midfield,23,Saudi Arabia,23,6,3,5,176,73,3395,8,10,31,12,6,0,2021,2026
1131101,Abdulwahid Al-Nakhli,32328,Al-Najma SC,Central Midfield,28,Saudi Arabia,0,7,7,3,146,98,6435,2,3,12,3,15,0,2018,2026
487472,Ammar Al-Najjar,32328,Al-Najma SC,Attacking Midfield,29,Saudi Arabia,0,12,9,6,316,157,7308,15,11,83,29,19,0,2015,2026
922125,Abdulaziz Al-Harabi,32328,Al-Najma SC,Central Midfield,28,Saudi Arabia,18,10,3,4,218,132,7115,8,6,22,6,23,0,2017,2026
1533157,Majed Sharrahi,32328,Al-Najma SC,Midfield,21,Saudi Arabia,0,2,2,2,9,2,16,0,0,0,0,0,0,2025,2026
574772,Lázaro,50531,Al-Fayha FC,Centre-Forward,24,Brazil,17,10,6,21,437,224,10876,45,20,234,97,20,6,2017,2026
221907,Romell Quioto,28848,Al-Faisaly FC,Centre-Forward,34,Honduras,0,18,9,29,824,463,31651,157,71,459,193,73,91,2009,2026
877672,Ali Jasim,32328,Al-Najma SC,Left Winger,22,Iraq,14,10,10,22,375,118,8093,25,21,161,66,2,67,2017,2026
344151,Bilal Boutobba,32328,Al-Najma SC,Right Winger,27,France,98,13,12,23,531,339,22478,52,36,251,102,20,32,2014,2026
596067,Felippe Cardoso,32328,Al-Najma SC,Centre-Forward,27,Brazil,70,10,10,23,443,236,12943,47,17,329,128,40,0,2016,2025
1051402,Hisham Al-Dubais,9840,Al-Shabab FC,Centre-Forward,24,Saudi Arabia,77,8,5,3,199,107,3775,21,2,14,3,14,0,2019,2026
922459,Mohammed Al-Aqel,28844,Al-Taawoun FC,Right Winger,26,Saudi Arabia,17,8,4,3,219,110,3465,6,2,32,14,18,0,2019,2026
1170037,Faisal Al-Mutairi,52358,Al-Diriyah FC,Right Winger,30,Saudi Arabia,18,4,2,4,116,70,3537,10,9,7,2,7,0,2023,2026
1161034,Mohammed Mansour,32328,Al-Najma SC,Right Winger,26,Saudi Arabia,17,8,4,4,199,121,5108,9,10,7,1,6,1,2018,2026
284701,Samuel Portugal,71665,Al-Okhdood Club,Goalkeeper,32,Brazil,94,15,9,18,613,147,13202,0,0,0,0,11,0,2012,2026
112813,Rakan Al-Najjar,71665,Al-Okhdood Club,Goalkeeper,30,Saudi Arabia,1,9,3,5,235,23,1916,0,0,0,0,1,0,2018,2026
364708,Hatem Al-Juhani,71665,Al-Okhdood Club,Goalkeeper,29,Saudi Arabia,26,9,5,4,200,52,4740,0,0,0,0,2,0,2018,2026
1298432,Saad Al-Qarni,71665,Al-Okhdood Club,Goalkeeper,24,Saudi Arabia,92,3,1,3,76,0,0,0,0,0,0,0,0,2024,2026
115763,Koray Günter,71665,Al-Okhdood Club,Centre-Back,31,Germany,22,19,12,25,819,385,28523,13,6,65,16,52,35,2008,2026
1092873,Muath Faqihi,8023,Al-Ittihad Club,Left-Back,24,Saudi Arabia,42,6,4,9,179,67,4042,0,3,22,3,12,2,2021,2026
1061462,Mohammed Abu Abd,71665,Al-Okhdood Club,Right-Back,24,Saudi Arabia,21,8,2,5,197,100,6307,0,6,5,0,9,1,2016,2026
1145063,Naif Asiri,71665,Al-Okhdood Club,Centre-Back,25,Saudi Arabia,15,5,3,4,141,54,3892,2,1,14,5,14,1,2021,2025
213257,Saeed Al-Rubaie,52358,Al-Diriyah FC,Centre-Back,32,Saudi Arabia,4,12,6,12,391,195,15502,17,4,125,30,59,3,2015,2026
1058034,Ali Al-Salem,6070,Al-Khaleej FC,Centre-Back,26,Saudi Arabia,2,9,4,3,229,114,8312,3,6,42,16,19,0,2018,2026
901135,Mohanad Al-Qaydhi,71665,Al-Okhdood Club,Centre-Back,27,Saudi Arabia,98,9,5,6,283,104,6435,2,0,28,6,17,0,2017,2025
1305931,Ghassan Hawsawi,71665,Al-Okhdood Club,Centre-Back,23,Saudi Arabia,87,3,2,3,77,31,1584,1,0,10,5,8,0,2024,2026
965992,Hussain Al-Zabdani,71665,Al-Okhdood Club,Right-Back,31,Saudi Arabia,8,7,1,3,157,99,7123,1,9,13,2,12,0,2018,2025
469669,Yvan Neyou,71665,Al-Okhdood Club,Defensive Midfield,29,Cameroon,5,12,10,24,485,232,15221,11,5,83,21,56,11,2015,2026
