competition_id,n_players_with_match
IS1,374
ISL,321
ISP,304
IS1P,259
FS,217
IS2,202
ECLQ,172
U17Q,122
ISLS,122
U19Q,116
CLQ,99
ELQ,98
U21Q,94
UCOL,53
IS2P,50
SEC,44
ISL3,43
NOPO,34
19YL,34
SE1,34
WMQ6,32
DKP,30
NO1,28
EMQ,25
DK1,24
UNLA,23
SE2,23
DK2,22
DKRE,22
NO2,21
UNLB,21
POEM,20
21EU,19
FIWC,18
17EU,18
DKDL,15
EURO,14
RESE,13
19EU,12
DKAR,12
DKRQ,12
EL,11
RTIP,10
UNPO,10
S21N,10
DK2P,10
NCD1,9
NLJB,9
CITP,8
NLJV,8
NL1,8
NLP,8
DKMR,7
S21P,7
DKPL,7
TDV,7
DFB,6
MLS1,6
NLBB,6
NLBE,6
POWM,6
S21S,6
GR1,5
MLSP,5
GRP,5
NLAJ,5
GBFL,5
CGB,5
FAC,5
SE3N,5
SE3S,5
FARO,5
FAPO,5
NLBV,5
NL2,5
NO42,5
ITJ7,5
IJ1,5
RESU,5
DK2R,5
GB21,5
FAYC,5
DK3O,5
KRC,5
BE2,4
KR1,4
POPU,4
L2,4
POUS,4
GB4,4
S1PO,4
GB2,4
PON2,4
IT3A,4
ITJF,4
NLAE,4
NLBP,4
21PL,4
DK3V,4
JUNO,4
GB18,4
KR2,4
PL2,3
DFBJ,3
L3,3
CCL,3
CCB,3
DKRL,3
BTCU,3
L1,3
GB1,3
FR2,3
CILP,3
NO31,3
NO32,3
NO44,3
JUSL,3
LI1,3
NO46,3
ES3C,3
PLIC,3
SERP,3
SER2,3
PL1,2
MAL1,2
BE1,2
USMX,2
FASC,2
UNLD,2
UNLC,2
POCC,2
GB3,2
FRC,2
NO41,2
UNGP,2
USLP,2
USL,2
IJ2A,2
SCC,2
ISPO,2
BU1,2
BULP,2
GBR,2
NO43,2
JUSÖ,2
ITJ5,2
PONL,2
FAR2,2
WMQ2,2
LTVP,2
AZ1,2
ASPK,2
CDR,2
BE2E,2
MAZ1,2
RO1R,2
RO1,2
ROMP,2
NLS6,2
REET,2
SR1R,2
SER1,2
NO45,2
18GB,2
FI1,2
BEY1,1
BE3V,1
VFVA,1
BEL3,1
BAPO,1
PL34,1
BAPL,1
PL2L,1
MALC,1
MALS,1
SAPO,1
HEPO,1
L2PO,1
RLSW,1
ATRM,1
JGD2,1
IJ2B,1
ofb,1
A1,1
NLVB,1
POG2,1
CL,1
POGR,1
CAN,1
CSL,1
ITJ4,1
IT18,1
ITJ8,1
NTD,1
FRL,1
UNG1,1
IT1,1
CHPR,1
IT2,1
RL3,1
EBEL,1
BUEL,1
GBRS,1
ISR1,1
ISRF,1
RLW3,1
LTU2,1
212F,1
182F,1
211F,1
212S,1
211S,1
SCIJ,1
NLBJ,1
17WC,1
MO1N,1
MOSC,1
IT3B,1
ITJE,1
ITJ9,1
WMQ3,1
NLAP,1
GOCU,1
CNLA,1
NLEV,1
GCQU,1
AJ1,1
ACL,1
AFCN,1
AFCQ,1
UARP,1
UKR1,1
IT3O,1
LTSC,1
UKRL,1
UKRA,1
UKRM,1
OLRP,1
SWP,1
WFPO,1
ISR2,1
ES3B,1
E4G3,1
E4G2,1
E3FI,1
E4G1,1
NLSC,1
OLYM,1
RS2f,1
BRRS,1
BRA4,1
POBE,1
CNAT,1
NMAP,1
USSP,1
ARPO,1
ARM1,1
NOSC,1
F19A,1
FR5G,1
F19F,1
FRYC,1
RO1C,1
ROMS,1
C1,1
KAS1,1
KASC,1
ROPC,1
ITJ6,1
E21P,1
SLO1,1
SKC,1
FAR3,1
L1RL,1
PVRR,1
SB17,1
SB19,1
POPO,1
PO2,1
P3As,1
P3Au,1
POCP,1
CPSB,1
3PTP,1
PT3A,1
SC1,1
UAEP,1
CZ3C,1
SLP,1
SFA,1
SC2,1
SL1,1
SSC,1
SCP,1
TS1,1
CIR5,1
SUIC,1
W23C,1
RO2,1
KO1,1
KOP1,1
SIN1,1
SINP,1
ALBP,1
ALB1,1
INIL,1
BIHP,1
BOS2,1
BOS1,1
F1CC,1
CAFC,1
F1CE,1
WRPO,1
FIS,1
WER1,1
FIL,1
ACLQ,1
QSCP,1
ACLE,1
QUC1,1
QSL,1
QEC1,1
TRP,1
F1CL,1
TR2,1
MNP3,1
IND1,1
E3FD,1
IT4G,1
HGKG,1
HKSC,1
AFCC,1
ACL2,1
HKFA,1
ES2P,1
HKP2,1
IL2P,1
ILI2,1
ITC4,1
